Symptom1,Symptom2,Remedies_S1,Remedies_S2,Shared_Remedies,P_B_given_A,P_A_given_B
increased appetite,irregular stool,2,2,2,1.0,1.0
stoppage of left nose,dysmenorrhoea,1,1,1,1.0,1.0
stoppage of left nose,occasional throat pain,1,1,1,1.0,1.0
stoppage of left nose,occasional acidity,1,1,1,1.0,1.0
stoppage of left nose,giddiness,1,1,1,1.0,1.0
stoppage of left nose,eruptions on right palm,1,1,1,1.0,1.0
stoppage of left nose,bronchospasm and cold allergy,1,1,1,1.0,1.0
trembling of hands,acne,1,1,1,1.0,1.0
trembling of hands,vomiting tendency,1,1,1,1.0,1.0
trembling of hands,recurrent common cold with dyspnoea,1,1,1,1.0,1.0
trembling of hands,itching on soles,1,1,1,1.0,1.0
acne,vomiting tendency,1,1,1,1.0,1.0
acne,recurrent common cold with dyspnoea,1,1,1,1.0,1.0
acne,itching on soles,1,1,1,1.0,1.0
disturbed sleep,pain during intercourse,1,1,1,1.0,1.0
disturbed sleep,blockage of left ear,1,1,1,1.0,1.0
vomiting tendency,recurrent common cold with dyspnoea,1,1,1,1.0,1.0
vomiting tendency,itching on soles,1,1,1,1.0,1.0
pain during intercourse,blockage of left ear,1,1,1,1.0,1.0
irritability and impulsiveness,dirty tongue and halitosis,1,1,1,1.0,1.0
dysmenorrhoea,occasional throat pain,1,1,1,1.0,1.0
dysmenorrhoea,occasional acidity,1,1,1,1.0,1.0
dysmenorrhoea,giddiness,1,1,1,1.0,1.0
dysmenorrhoea,eruptions on right palm,1,1,1,1.0,1.0
dysmenorrhoea,bronchospasm and cold allergy,1,1,1,1.0,1.0
occasional throat pain,occasional acidity,1,1,1,1.0,1.0
occasional throat pain,giddiness,1,1,1,1.0,1.0
occasional throat pain,eruptions on right palm,1,1,1,1.0,1.0
occasional throat pain,bronchospasm and cold allergy,1,1,1,1.0,1.0
occasional acidity,giddiness,1,1,1,1.0,1.0
occasional acidity,eruptions on right palm,1,1,1,1.0,1.0
occasional acidity,bronchospasm and cold allergy,1,1,1,1.0,1.0
wind in stomach and abdomen,"numbness and flying, shifting pains",2,2,2,1.0,1.0
giddiness,eruptions on right palm,1,1,1,1.0,1.0
giddiness,bronchospasm and cold allergy,1,1,1,1.0,1.0
recurrent common cold with dyspnoea,itching on soles,1,1,1,1.0,1.0
eruptions on right palm,bronchospasm and cold allergy,1,1,1,1.0,1.0
sweat in axilla,suppression of anger and emotions,2,3,2,1.0,0.6667
dryness and constriction,lack of strength,2,3,2,1.0,0.6667
dryness and constriction,"scanty, hot, yellow urine",2,3,2,1.0,0.6667
wind in stomach and abdomen,profuse menstruation,2,3,2,1.0,0.6667
wind in stomach and abdomen,palpitation and tachycardia,2,3,2,1.0,0.6667
"numbness and flying, shifting pains",palpitation and tachycardia,2,3,2,1.0,0.6667
lack of strength,headache at vertex,3,5,3,1.0,0.6
trembling of hands,irregular stool,1,2,1,1.0,0.5
trembling of hands,recurrent dislocation of right shoulder joint,1,2,1,1.0,0.5
acne,recurrent dislocation of right shoulder joint,1,2,1,1.0,0.5
vomiting tendency,recurrent dislocation of right shoulder joint,1,2,1,1.0,0.5
irritability and impulsiveness,profuse thirst,1,2,1,1.0,0.5
dirty tongue and halitosis,profuse thirst,1,2,1,1.0,0.5
sweat in axilla,chilly patient,2,5,2,1.0,0.4
dryness and constriction,headache at vertex,2,5,2,1.0,0.4
increased appetite,chilly patient,2,5,2,1.0,0.4
addiction to chewing tobacco,chilly patient,2,5,2,1.0,0.4
irregular stool,chilly patient,2,5,2,1.0,0.4
wind in stomach and abdomen,headache at vertex,2,5,2,1.0,0.4
stoppage of left nose,lack of strength,1,3,1,1.0,0.3333
stoppage of left nose,constipation,1,3,1,1.0,0.3333
stoppage of left nose,suppression of anger and emotions,1,3,1,1.0,0.3333
trembling of hands,pain and stiffness,1,3,1,1.0,0.3333
trembling of hands,profuse menstruation,1,3,1,1.0,0.3333
trembling of hands,suppression of anger and emotions,1,3,1,1.0,0.3333
acne,pain and stiffness,1,3,1,1.0,0.3333
acne,profuse menstruation,1,3,1,1.0,0.3333
acne,suppression of anger and emotions,1,3,1,1.0,0.3333
disturbed sleep,suppression of anger and emotions,1,3,1,1.0,0.3333
disturbed sleep,palpitation and tachycardia,1,3,1,1.0,0.3333
vomiting tendency,pain and stiffness,1,3,1,1.0,0.3333
vomiting tendency,profuse menstruation,1,3,1,1.0,0.3333
vomiting tendency,suppression of anger and emotions,1,3,1,1.0,0.3333
pain during intercourse,suppression of anger and emotions,1,3,1,1.0,0.3333
pain during intercourse,palpitation and tachycardia,1,3,1,1.0,0.3333
irritability and impulsiveness,"scanty, hot, yellow urine",1,3,1,1.0,0.3333
dysmenorrhoea,suppression of anger and emotions,1,3,1,1.0,0.3333
occasional throat pain,suppression of anger and emotions,1,3,1,1.0,0.3333
occasional acidity,suppression of anger and emotions,1,3,1,1.0,0.3333
wind in stomach and abdomen,debility,2,6,2,1.0,0.3333
giddiness,suppression of anger and emotions,1,3,1,1.0,0.3333
