Cluster_ID,Remedy,Chapter,Symptom,Area,Modalities
0,medorrhinum,general characteristics,marked by much disturbance and irritability of the nervous system,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,general characteristics,pains are intolerable tensive shooting neuralgic,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,general characteristics,produces tension involuntary tension,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,general characteristics,nerves are easily shocked,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,general characteristics,easily startled at the least sound,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,general characteristics,restlessness better by clutching the hands very tightly,,"better by clutching the hands very tightly, aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,general characteristics,nerves quiver tingle tremble and cause spasms,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,general characteristics,cold yet throws off covers and wants to be fanned,,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,heart,stitching pain at apex comes and goes quickly,heart,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
0,medorrhinum,heart,intense pain in heart radiating to different parts of left chest,chest,"aggravates with when thinking of trouble, aggravates with heat, aggravates with covering, aggravates with stretching out part, aggravates with leaning head forward, aggravates with thunderstorms, aggravates with motion, aggravates with away from seashore, aggravates with in the mountains, aggravates with sweets, aggravates with from 3 to 4 a.m., aggravates with in the sun, aggravates with warmth of bed or warm room, aggravates with from daylight to sunset, aggravates with cold damp weather, aggravates with wind, ameliorates with lying in knee-chest position, ameliorates with fresh air, ameliorates with seashore, ameliorates with after sunset"
