### Cluster 13 — Symptoms (24)
Symptom,Frequency
pressing pain in right tibia,1
rheumatic pain in scapular muscles,1
pain and stiffness of nape cervical muscles,1
pains in periosteum of long bones especially tibia,1
constricted sensations in different parts,1
violent nightly pains in bones of the feet,1
neuralgic pains in different parts come quickly and leave the part numb,1
stiffness on right side of nape of neck,1
twitching pain from hip joint to knee,1
right hip joint feels sprained on walking,1
violent pain in tibia as if periosteum were torn off,1
ophthalmia after the abuse of mercury,1
neuralgia especially after operations on the eye,1
apprehensiveness as if expecting bad news,1
deep-seated pains as if in periosteum,1
pain in shoulder joint as if torn asunder,1
hypochondriacal and despondent,1
pain deep in bones of thigh and legs,1
cracking in right knee upon rising,1
burning sensations especially in throat,1
violent stitches in toes of right foot,1
rheumatic pain in right scapula,1
violent tearing in ball of left little toe,1
drawing pains in legs,1

### Top Remedies
Remedy,Symptoms_Covered
mezereum,24

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
hypochondriacal and despondent,pressing pain in right tibia,1.0,1
hypochondriacal and despondent,rheumatic pain in scapular muscles,1.0,1
hypochondriacal and despondent,pain and stiffness of nape cervical muscles,1.0,1
hypochondriacal and despondent,pains in periosteum of long bones especially tibia,1.0,1
hypochondriacal and despondent,constricted sensations in different parts,1.0,1
hypochondriacal and despondent,violent nightly pains in bones of the feet,1.0,1
hypochondriacal and despondent,neuralgic pains in different parts come quickly and leave the part numb,1.0,1
hypochondriacal and despondent,stiffness on right side of nape of neck,1.0,1
hypochondriacal and despondent,twitching pain from hip joint to knee,1.0,1
hypochondriacal and despondent,right hip joint feels sprained on walking,1.0,1
hypochondriacal and despondent,violent pain in tibia as if periosteum were torn off,1.0,1
hypochondriacal and despondent,ophthalmia after the abuse of mercury,1.0,1
hypochondriacal and despondent,neuralgia especially after operations on the eye,1.0,1
hypochondriacal and despondent,apprehensiveness as if expecting bad news,1.0,1
hypochondriacal and despondent,deep-seated pains as if in periosteum,1.0,1
hypochondriacal and despondent,pain in shoulder joint as if torn asunder,1.0,1
hypochondriacal and despondent,pain deep in bones of thigh and legs,1.0,1
hypochondriacal and despondent,cracking in right knee upon rising,1.0,1
hypochondriacal and despondent,burning sensations especially in throat,1.0,1
hypochondriacal and despondent,violent stitches in toes of right foot,1.0,1
hypochondriacal and despondent,rheumatic pain in right scapula,1.0,1
hypochondriacal and despondent,violent tearing in ball of left little toe,1.0,1
hypochondriacal and despondent,drawing pains in legs,1.0,1
pains in periosteum of long bones especially tibia,pressing pain in right tibia,1.0,1
