### Cluster 26 — Symptoms (65)
Symptom,Frequency
swelling of affected parts,1
pains worse on motion,1
stiffness in tendo achillis,1
stiff neck from cold draft,1
menses delayed,1
small of back pain extends down thighs,1
stiff joints at night,1
heart pain extends down left arm,1
soreness in tendo achillis,1
compare with pulsatilla,1
tremors all over,1
feels troubled,1
sore bruised feeling of whole body,2
neck very painful on slight motion,1
cervical region sensitive,1
contraction in neck,1
brain feels too large,1
menses irregular,1
aching in tendo achillis,1
dull headache in vertex,1
soreness of dorsal muscles,1
spine sensitive,1
pain in right chest,1
crampy sticking pains,2
joint pains with swelling,1
aching down left leg,1
menses suppressed,1
affects belly of muscles,1
shivers run all over body,1
severe pain down arms,1
pains worse toward night,1
neck retracted,1
violent aching in lumbar region,2
heart pain extends over chest,1
dull headache in occiput,1
affects chest muscles,1
growing pains about lower limbs,1
weak trembling pain in small of back,2
heat of affected parts,1
compare with caulophyllum,1
rheumatic pains in back muscles,1
affects back muscles,1
excruciating pains in arms,1
numbness as if nerve compressed,1
compare with actea spicata,1
rheumatism of dorsal muscles,1
upper dorsal region sensitive,1
affects neck muscles,1
stiff joints in morning,1
excessive muscular soreness,2
dull aching burning in second joint of right great toe,3
belly of muscles affected,1
arm pains worse as evening approaches,1
associated with deranged menstruation,1
weight in lumbar region,1
weight in sacral region,1
rheumatic pains in neck muscles,1
chest pain extorts cries,1
joint pains with heat,1
chest pain worse by motion,1
cramp in neck muscles on moving head,1
tendo achillis pain worse when walking,1
head retracted,1
pain in lumbar region,1
feels grieved,1

### Top Remedies
Remedy,Symptoms_Covered
cimicifuga,65

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
growing pains about lower limbs,swelling of affected parts,1.0,1
growing pains about lower limbs,pains worse on motion,1.0,1
growing pains about lower limbs,stiffness in tendo achillis,1.0,1
growing pains about lower limbs,stiff neck from cold draft,1.0,1
growing pains about lower limbs,menses delayed,1.0,1
growing pains about lower limbs,small of back pain extends down thighs,1.0,1
growing pains about lower limbs,stiff joints at night,1.0,1
growing pains about lower limbs,heart pain extends down left arm,1.0,1
growing pains about lower limbs,soreness in tendo achillis,1.0,1
growing pains about lower limbs,compare with pulsatilla,1.0,1
growing pains about lower limbs,tremors all over,1.0,1
growing pains about lower limbs,feels troubled,1.0,1
growing pains about lower limbs,sore bruised feeling of whole body,1.0,1
growing pains about lower limbs,neck very painful on slight motion,1.0,1
growing pains about lower limbs,cervical region sensitive,1.0,1
growing pains about lower limbs,contraction in neck,1.0,1
growing pains about lower limbs,brain feels too large,1.0,1
growing pains about lower limbs,menses irregular,1.0,1
growing pains about lower limbs,aching in tendo achillis,1.0,1
growing pains about lower limbs,dull headache in vertex,1.0,1
growing pains about lower limbs,soreness of dorsal muscles,1.0,1
growing pains about lower limbs,spine sensitive,1.0,1
growing pains about lower limbs,pain in right chest,1.0,1
growing pains about lower limbs,crampy sticking pains,1.0,1
growing pains about lower limbs,joint pains with swelling,1.0,1
growing pains about lower limbs,aching down left leg,1.0,1
growing pains about lower limbs,menses suppressed,1.0,1
growing pains about lower limbs,affects belly of muscles,1.0,1
growing pains about lower limbs,shivers run all over body,1.0,1
growing pains about lower limbs,severe pain down arms,1.0,1
growing pains about lower limbs,pains worse toward night,1.0,1
growing pains about lower limbs,neck retracted,1.0,1
growing pains about lower limbs,violent aching in lumbar region,1.0,1
growing pains about lower limbs,heart pain extends over chest,1.0,1
growing pains about lower limbs,dull headache in occiput,1.0,1
growing pains about lower limbs,affects chest muscles,1.0,1
growing pains about lower limbs,weak trembling pain in small of back,1.0,1
growing pains about lower limbs,heat of affected parts,1.0,1
growing pains about lower limbs,compare with caulophyllum,1.0,1
growing pains about lower limbs,rheumatic pains in back muscles,1.0,1
growing pains about lower limbs,affects back muscles,1.0,1
growing pains about lower limbs,excruciating pains in arms,1.0,1
growing pains about lower limbs,numbness as if nerve compressed,1.0,1
growing pains about lower limbs,compare with actea spicata,1.0,1
growing pains about lower limbs,rheumatism of dorsal muscles,1.0,1
growing pains about lower limbs,upper dorsal region sensitive,1.0,1
growing pains about lower limbs,affects neck muscles,1.0,1
growing pains about lower limbs,stiff joints in morning,1.0,1
growing pains about lower limbs,excessive muscular soreness,1.0,1
growing pains about lower limbs,dull aching burning in second joint of right great toe,1.0,1
growing pains about lower limbs,belly of muscles affected,1.0,1
growing pains about lower limbs,arm pains worse as evening approaches,1.0,1
growing pains about lower limbs,associated with deranged menstruation,1.0,1
growing pains about lower limbs,weight in lumbar region,1.0,1
growing pains about lower limbs,weight in sacral region,1.0,1
growing pains about lower limbs,rheumatic pains in neck muscles,1.0,1
growing pains about lower limbs,chest pain extorts cries,1.0,1
growing pains about lower limbs,joint pains with heat,1.0,1
growing pains about lower limbs,chest pain worse by motion,1.0,1
growing pains about lower limbs,cramp in neck muscles on moving head,1.0,1
growing pains about lower limbs,tendo achillis pain worse when walking,1.0,1
growing pains about lower limbs,head retracted,1.0,1
growing pains about lower limbs,pain in lumbar region,1.0,1
growing pains about lower limbs,feels grieved,1.0,1
swelling of affected parts,pains worse on motion,1.0,1
swelling of affected parts,stiffness in tendo achillis,1.0,1
swelling of affected parts,stiff neck from cold draft,1.0,1
swelling of affected parts,menses delayed,1.0,1
swelling of affected parts,small of back pain extends down thighs,1.0,1
swelling of affected parts,stiff joints at night,1.0,1
swelling of affected parts,heart pain extends down left arm,1.0,1
swelling of affected parts,soreness in tendo achillis,1.0,1
swelling of affected parts,compare with pulsatilla,1.0,1
swelling of affected parts,tremors all over,1.0,1
swelling of affected parts,feels troubled,1.0,1
swelling of affected parts,sore bruised feeling of whole body,1.0,1
swelling of affected parts,neck very painful on slight motion,1.0,1
swelling of affected parts,cervical region sensitive,1.0,1
swelling of affected parts,contraction in neck,1.0,1
swelling of affected parts,brain feels too large,1.0,1
swelling of affected parts,menses irregular,1.0,1
swelling of affected parts,aching in tendo achillis,1.0,1
swelling of affected parts,dull headache in vertex,1.0,1
swelling of affected parts,soreness of dorsal muscles,1.0,1
swelling of affected parts,spine sensitive,1.0,1
swelling of affected parts,pain in right chest,1.0,1
swelling of affected parts,crampy sticking pains,1.0,1
swelling of affected parts,joint pains with swelling,1.0,1
swelling of affected parts,aching down left leg,1.0,1
swelling of affected parts,menses suppressed,1.0,1
swelling of affected parts,affects belly of muscles,1.0,1
swelling of affected parts,shivers run all over body,1.0,1
swelling of affected parts,severe pain down arms,1.0,1
swelling of affected parts,pains worse toward night,1.0,1
swelling of affected parts,neck retracted,1.0,1
swelling of affected parts,violent aching in lumbar region,1.0,1
swelling of affected parts,heart pain extends over chest,1.0,1
swelling of affected parts,dull headache in occiput,1.0,1
swelling of affected parts,affects chest muscles,1.0,1
swelling of affected parts,growing pains about lower limbs,1.0,1
swelling of affected parts,weak trembling pain in small of back,1.0,1
swelling of affected parts,heat of affected parts,1.0,1
swelling of affected parts,compare with caulophyllum,1.0,1
swelling of affected parts,rheumatic pains in back muscles,1.0,1
swelling of affected parts,affects back muscles,1.0,1
swelling of affected parts,excruciating pains in arms,1.0,1
swelling of affected parts,numbness as if nerve compressed,1.0,1
swelling of affected parts,compare with actea spicata,1.0,1
swelling of affected parts,rheumatism of dorsal muscles,1.0,1
swelling of affected parts,upper dorsal region sensitive,1.0,1
swelling of affected parts,affects neck muscles,1.0,1
swelling of affected parts,stiff joints in morning,1.0,1
swelling of affected parts,excessive muscular soreness,1.0,1
swelling of affected parts,dull aching burning in second joint of right great toe,1.0,1
swelling of affected parts,belly of muscles affected,1.0,1
swelling of affected parts,arm pains worse as evening approaches,1.0,1
swelling of affected parts,associated with deranged menstruation,1.0,1
swelling of affected parts,weight in lumbar region,1.0,1
swelling of affected parts,weight in sacral region,1.0,1
swelling of affected parts,rheumatic pains in neck muscles,1.0,1
swelling of affected parts,chest pain extorts cries,1.0,1
swelling of affected parts,joint pains with heat,1.0,1
swelling of affected parts,chest pain worse by motion,1.0,1
swelling of affected parts,cramp in neck muscles on moving head,1.0,1
swelling of affected parts,tendo achillis pain worse when walking,1.0,1
swelling of affected parts,head retracted,1.0,1
swelling of affected parts,pain in lumbar region,1.0,1
swelling of affected parts,feels grieved,1.0,1
menses delayed,swelling of affected parts,1.0,1
menses delayed,pains worse on motion,1.0,1
