### Cluster 27 — Symptoms (17)
Symptom,Frequency
joints feel stiff,2
soreness at lower cervical vertebrae,1
feels tired all the time,1
knee joints crack,1
rheumatic pain in right arm,1
shooting pains from acetabulum to knee,1
severe pain between scapulae,1
surface cool covered with cold clammy sweat,1
flying pains in fingers palms and forearms,1
marked emaciation,1
neuralgic pains from axilla to little finger,1
pains in joints and left side,1
neck stiff and sore,1
soreness extending down to joints even with and under both scapulae,1
worse in shoulder and wrist,1
lower limbs are heavy,1
restless cannot sit still without effort,1

### Top Remedies
Remedy,Symptoms_Covered
natrum arsenicatum,17
cimicifuga,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
flying pains in fingers palms and forearms,soreness at lower cervical vertebrae,1.0,1
flying pains in fingers palms and forearms,feels tired all the time,1.0,1
flying pains in fingers palms and forearms,knee joints crack,1.0,1
flying pains in fingers palms and forearms,rheumatic pain in right arm,1.0,1
flying pains in fingers palms and forearms,shooting pains from acetabulum to knee,1.0,1
flying pains in fingers palms and forearms,joints feel stiff,1.0,1
flying pains in fingers palms and forearms,severe pain between scapulae,1.0,1
flying pains in fingers palms and forearms,surface cool covered with cold clammy sweat,1.0,1
flying pains in fingers palms and forearms,marked emaciation,1.0,1
flying pains in fingers palms and forearms,neuralgic pains from axilla to little finger,1.0,1
flying pains in fingers palms and forearms,pains in joints and left side,1.0,1
flying pains in fingers palms and forearms,neck stiff and sore,1.0,1
flying pains in fingers palms and forearms,soreness extending down to joints even with and under both scapulae,1.0,1
flying pains in fingers palms and forearms,worse in shoulder and wrist,1.0,1
flying pains in fingers palms and forearms,lower limbs are heavy,1.0,1
flying pains in fingers palms and forearms,restless cannot sit still without effort,1.0,1
restless cannot sit still without effort,soreness at lower cervical vertebrae,1.0,1
restless cannot sit still without effort,feels tired all the time,1.0,1
restless cannot sit still without effort,knee joints crack,1.0,1
restless cannot sit still without effort,rheumatic pain in right arm,1.0,1
restless cannot sit still without effort,shooting pains from acetabulum to knee,1.0,1
restless cannot sit still without effort,joints feel stiff,1.0,1
restless cannot sit still without effort,severe pain between scapulae,1.0,1
restless cannot sit still without effort,surface cool covered with cold clammy sweat,1.0,1
restless cannot sit still without effort,flying pains in fingers palms and forearms,1.0,1
restless cannot sit still without effort,marked emaciation,1.0,1
restless cannot sit still without effort,neuralgic pains from axilla to little finger,1.0,1
restless cannot sit still without effort,pains in joints and left side,1.0,1
restless cannot sit still without effort,neck stiff and sore,1.0,1
