### Cluster 31 — Symptoms (56)
Symptom,Frequency
antidotes bad effects of quinine,1
aching in lumbar region with cough,1
sprained pain in wrists,1
stiffness as if broken in lumbar region,1
weakness in ankle,1
arthritic stiffness,2
numbness of fingers and tips,1
indurated glands,2
painful tension in calves when walking,2
sharp pain in ball of right thumb,1
offensive debilitating night sweats,2
arthritic nodes,1
night sweats staining linen yellow,1
arms painful to touch,1
coccyx pain worse by sitting,1
coccyx pain worse by lying,1
hands become stiff,1
offensive debilitating sweats,2
pain in ankle,1
violent drawing pain in hip,2
induration of glands,1
hands go to sleep,2
gnawing pain in tibia,1
induration of tendons of fingers,1
painful contraction of tendo achillis,2
scrofulous patients with rheumatic troubles,1
gouty stiffness of finger joints,2
swelling of bones of fingers,1
complementary to calc. phos.,1
compatible with most polychrests,1
weakness of ankles in learning to walk,1
feet go to sleep,1
exhausting sweats,1
hands numb,1
burning in coccyx when touched,1
fingers go to sleep,1
nosebleed preceded by vertigo,1
boring in condyles of wrist,1
pressing drawing in lumbar region,2
stitches in left hip when sitting,1
sharp drawing across small of back,2
pressing pain in small of back,2
painful tension between shoulders,2
joints feel as if broken,1
coldness in lumbar region with cough,1
cramp in forepart of leg near tibia on walking,1
legs up to knees go to sleep,1
suppuration of glands,1
nosebleed in the morning,1
ulcerative bruised pain in coccyx,2
numbness of limbs,1
drawing in tip of elbow,1
pain in hip causes limping,1
bruised pain in limbs during motion,1
prickling stitches in nape of neck,1
sensitive to every step,1

### Top Remedies
Remedy,Symptoms_Covered
carbo animalis,56
calcarea fluorica,1
spongia,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
weakness of ankles in learning to walk,antidotes bad effects of quinine,1.0,1
weakness of ankles in learning to walk,aching in lumbar region with cough,1.0,1
weakness of ankles in learning to walk,sprained pain in wrists,1.0,1
weakness of ankles in learning to walk,stiffness as if broken in lumbar region,1.0,1
weakness of ankles in learning to walk,weakness in ankle,1.0,1
weakness of ankles in learning to walk,arthritic stiffness,1.0,1
weakness of ankles in learning to walk,numbness of fingers and tips,1.0,1
weakness of ankles in learning to walk,indurated glands,1.0,1
weakness of ankles in learning to walk,painful tension in calves when walking,1.0,1
weakness of ankles in learning to walk,sharp pain in ball of right thumb,1.0,1
weakness of ankles in learning to walk,offensive debilitating night sweats,1.0,1
weakness of ankles in learning to walk,arthritic nodes,1.0,1
weakness of ankles in learning to walk,night sweats staining linen yellow,1.0,1
weakness of ankles in learning to walk,arms painful to touch,1.0,1
weakness of ankles in learning to walk,coccyx pain worse by sitting,1.0,1
weakness of ankles in learning to walk,coccyx pain worse by lying,1.0,1
weakness of ankles in learning to walk,hands become stiff,1.0,1
weakness of ankles in learning to walk,offensive debilitating sweats,1.0,1
weakness of ankles in learning to walk,pain in ankle,1.0,1
weakness of ankles in learning to walk,violent drawing pain in hip,1.0,1
weakness of ankles in learning to walk,induration of glands,1.0,1
weakness of ankles in learning to walk,hands go to sleep,1.0,1
weakness of ankles in learning to walk,gnawing pain in tibia,1.0,1
weakness of ankles in learning to walk,induration of tendons of fingers,1.0,1
weakness of ankles in learning to walk,painful contraction of tendo achillis,1.0,1
weakness of ankles in learning to walk,scrofulous patients with rheumatic troubles,1.0,1
weakness of ankles in learning to walk,gouty stiffness of finger joints,1.0,1
weakness of ankles in learning to walk,swelling of bones of fingers,1.0,1
weakness of ankles in learning to walk,complementary to calc. phos.,1.0,1
weakness of ankles in learning to walk,compatible with most polychrests,1.0,1
weakness of ankles in learning to walk,feet go to sleep,1.0,1
weakness of ankles in learning to walk,exhausting sweats,1.0,1
weakness of ankles in learning to walk,hands numb,1.0,1
weakness of ankles in learning to walk,burning in coccyx when touched,1.0,1
weakness of ankles in learning to walk,fingers go to sleep,1.0,1
weakness of ankles in learning to walk,nosebleed preceded by vertigo,1.0,1
weakness of ankles in learning to walk,boring in condyles of wrist,1.0,1
weakness of ankles in learning to walk,pressing drawing in lumbar region,1.0,1
weakness of ankles in learning to walk,stitches in left hip when sitting,1.0,1
weakness of ankles in learning to walk,sharp drawing across small of back,1.0,1
weakness of ankles in learning to walk,pressing pain in small of back,1.0,1
weakness of ankles in learning to walk,painful tension between shoulders,1.0,1
weakness of ankles in learning to walk,joints feel as if broken,1.0,1
weakness of ankles in learning to walk,coldness in lumbar region with cough,1.0,1
weakness of ankles in learning to walk,cramp in forepart of leg near tibia on walking,1.0,1
weakness of ankles in learning to walk,legs up to knees go to sleep,1.0,1
weakness of ankles in learning to walk,suppuration of glands,1.0,1
weakness of ankles in learning to walk,nosebleed in the morning,1.0,1
weakness of ankles in learning to walk,ulcerative bruised pain in coccyx,1.0,1
weakness of ankles in learning to walk,numbness of limbs,1.0,1
weakness of ankles in learning to walk,drawing in tip of elbow,1.0,1
weakness of ankles in learning to walk,pain in hip causes limping,1.0,1
weakness of ankles in learning to walk,bruised pain in limbs during motion,1.0,1
weakness of ankles in learning to walk,prickling stitches in nape of neck,1.0,1
weakness of ankles in learning to walk,sensitive to every step,1.0,1
drawing in tip of elbow,antidotes bad effects of quinine,1.0,1
drawing in tip of elbow,aching in lumbar region with cough,1.0,1
drawing in tip of elbow,sprained pain in wrists,1.0,1
drawing in tip of elbow,stiffness as if broken in lumbar region,1.0,1
drawing in tip of elbow,weakness in ankle,1.0,1
drawing in tip of elbow,arthritic stiffness,1.0,1
drawing in tip of elbow,numbness of fingers and tips,1.0,1
drawing in tip of elbow,indurated glands,1.0,1
drawing in tip of elbow,painful tension in calves when walking,1.0,1
drawing in tip of elbow,sharp pain in ball of right thumb,1.0,1
drawing in tip of elbow,offensive debilitating night sweats,1.0,1
drawing in tip of elbow,arthritic nodes,1.0,1
drawing in tip of elbow,night sweats staining linen yellow,1.0,1
drawing in tip of elbow,arms painful to touch,1.0,1
drawing in tip of elbow,coccyx pain worse by sitting,1.0,1
drawing in tip of elbow,coccyx pain worse by lying,1.0,1
drawing in tip of elbow,hands become stiff,1.0,1
drawing in tip of elbow,offensive debilitating sweats,1.0,1
drawing in tip of elbow,pain in ankle,1.0,1
drawing in tip of elbow,violent drawing pain in hip,1.0,1
drawing in tip of elbow,induration of glands,1.0,1
drawing in tip of elbow,hands go to sleep,1.0,1
drawing in tip of elbow,gnawing pain in tibia,1.0,1
drawing in tip of elbow,induration of tendons of fingers,1.0,1
drawing in tip of elbow,painful contraction of tendo achillis,1.0,1
drawing in tip of elbow,scrofulous patients with rheumatic troubles,1.0,1
drawing in tip of elbow,gouty stiffness of finger joints,1.0,1
drawing in tip of elbow,swelling of bones of fingers,1.0,1
drawing in tip of elbow,complementary to calc. phos.,1.0,1
drawing in tip of elbow,compatible with most polychrests,1.0,1
drawing in tip of elbow,weakness of ankles in learning to walk,1.0,1
drawing in tip of elbow,feet go to sleep,1.0,1
drawing in tip of elbow,exhausting sweats,1.0,1
drawing in tip of elbow,hands numb,1.0,1
drawing in tip of elbow,burning in coccyx when touched,1.0,1
drawing in tip of elbow,fingers go to sleep,1.0,1
drawing in tip of elbow,nosebleed preceded by vertigo,1.0,1
drawing in tip of elbow,boring in condyles of wrist,1.0,1
drawing in tip of elbow,pressing drawing in lumbar region,1.0,1
drawing in tip of elbow,stitches in left hip when sitting,1.0,1
drawing in tip of elbow,sharp drawing across small of back,1.0,1
drawing in tip of elbow,pressing pain in small of back,1.0,1
drawing in tip of elbow,painful tension between shoulders,1.0,1
drawing in tip of elbow,joints feel as if broken,1.0,1
drawing in tip of elbow,coldness in lumbar region with cough,1.0,1
drawing in tip of elbow,cramp in forepart of leg near tibia on walking,1.0,1
drawing in tip of elbow,legs up to knees go to sleep,1.0,1
drawing in tip of elbow,suppuration of glands,1.0,1
drawing in tip of elbow,nosebleed in the morning,1.0,1
drawing in tip of elbow,ulcerative bruised pain in coccyx,1.0,1
drawing in tip of elbow,numbness of limbs,1.0,1
drawing in tip of elbow,pain in hip causes limping,1.0,1
drawing in tip of elbow,bruised pain in limbs during motion,1.0,1
drawing in tip of elbow,prickling stitches in nape of neck,1.0,1
drawing in tip of elbow,sensitive to every step,1.0,1
nosebleed preceded by vertigo,antidotes bad effects of quinine,1.0,1
nosebleed preceded by vertigo,aching in lumbar region with cough,1.0,1
nosebleed preceded by vertigo,sprained pain in wrists,1.0,1
nosebleed preceded by vertigo,stiffness as if broken in lumbar region,1.0,1
nosebleed preceded by vertigo,weakness in ankle,1.0,1
nosebleed preceded by vertigo,arthritic stiffness,1.0,1
nosebleed preceded by vertigo,numbness of fingers and tips,1.0,1
nosebleed preceded by vertigo,indurated glands,1.0,1
nosebleed preceded by vertigo,painful tension in calves when walking,1.0,1
nosebleed preceded by vertigo,sharp pain in ball of right thumb,1.0,1
nosebleed preceded by vertigo,offensive debilitating night sweats,1.0,1
nosebleed preceded by vertigo,arthritic nodes,1.0,1
nosebleed preceded by vertigo,night sweats staining linen yellow,1.0,1
nosebleed preceded by vertigo,arms painful to touch,1.0,1
nosebleed preceded by vertigo,coccyx pain worse by sitting,1.0,1
nosebleed preceded by vertigo,coccyx pain worse by lying,1.0,1
nosebleed preceded by vertigo,hands become stiff,1.0,1
nosebleed preceded by vertigo,offensive debilitating sweats,1.0,1
nosebleed preceded by vertigo,pain in ankle,1.0,1
nosebleed preceded by vertigo,violent drawing pain in hip,1.0,1
