### Cluster 34 — Symptoms (63)
Symptom,Frequency
palpitation violent,2
endocarditis,2
cataract of left eye,1
sharp stabbing pains through eyeballs,1
rheumatic affections of heart,1
systolic blowing at apex,1
tearing pain as of a sprain,1
suffocative spells from least motion,1
slightest jar causes intense pain,1
pericarditis in rheumatism,1
painful numbness,1
severe stitching pains in cardiac region,1
putrid odour from mouth,1
stabbing pains,1
precordial pain,1
severe dyspnea,1
dyspnea from lying on back,1
acute pericarditis,1
tearing pain in left knee,1
drawing tearing in right thigh,1
profuse sweat,1
violent irregular heart action,1
much anxiety,1
knock causes intense pain,1
muscles of eyeball stiff on motion,1
strabismus,1
endocardial pain,1
pressive pain above right wrist,1
stinging in joints,1
nightly pains of extreme severity,1
commencing valvular disease,1
tongue coated yellow,1
contraction of flexors of fingers,1
painful contractions of muscles of chest,1
stitches in bends of elbows,1
gonorrheal ophthalmia,1
sensitive to slightest touch,1
rheumatism of nape of neck,1
tongue coated white,1
cannot get enough air,1
pains radiating back into head,1
eyeball sensitive to touch,1
itching of nose,1
stinging pains in limbs,1
neuralgic pains from cold damp rainy weather,1
hard nodosities of hands,1
stitching in joints,1
severe neuralgic pains,1
pericarditis,1
hard nodosities of toes,1
stitches about heart,1
sticking pains through eyeballs,1
dilated pupils,1
tearing pain in phalanges of right thumb,1
rheumatic troubles in left side of chest,2
very sensitive to cold air,1
sticking pains,1
severe pain,1
pains radiate to bones of eye socket,1
rheumatic inflammations of heart,1
endocarditis with insufficiency of mitral valve,1
persistent stitch in left thigh,1
cutting piercing pain through left chest near sternum to back,1

### Top Remedies
Remedy,Symptoms_Covered
spigelia,63
spongia,2

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
eyeball sensitive to touch,cataract of left eye,1.0,1
eyeball sensitive to touch,sharp stabbing pains through eyeballs,1.0,1
eyeball sensitive to touch,rheumatic affections of heart,1.0,1
eyeball sensitive to touch,systolic blowing at apex,1.0,1
eyeball sensitive to touch,tearing pain as of a sprain,1.0,1
eyeball sensitive to touch,suffocative spells from least motion,1.0,1
eyeball sensitive to touch,slightest jar causes intense pain,1.0,1
eyeball sensitive to touch,pericarditis in rheumatism,1.0,1
eyeball sensitive to touch,painful numbness,1.0,1
eyeball sensitive to touch,severe stitching pains in cardiac region,1.0,1
eyeball sensitive to touch,putrid odour from mouth,1.0,1
eyeball sensitive to touch,stabbing pains,1.0,1
eyeball sensitive to touch,precordial pain,1.0,1
eyeball sensitive to touch,severe dyspnea,1.0,1
eyeball sensitive to touch,dyspnea from lying on back,1.0,1
eyeball sensitive to touch,acute pericarditis,1.0,1
eyeball sensitive to touch,tearing pain in left knee,1.0,1
eyeball sensitive to touch,drawing tearing in right thigh,1.0,1
eyeball sensitive to touch,profuse sweat,1.0,1
eyeball sensitive to touch,violent irregular heart action,1.0,1
eyeball sensitive to touch,much anxiety,1.0,1
eyeball sensitive to touch,knock causes intense pain,1.0,1
eyeball sensitive to touch,muscles of eyeball stiff on motion,1.0,1
eyeball sensitive to touch,strabismus,1.0,1
eyeball sensitive to touch,endocardial pain,1.0,1
eyeball sensitive to touch,palpitation violent,1.0,1
eyeball sensitive to touch,pressive pain above right wrist,1.0,1
eyeball sensitive to touch,stinging in joints,1.0,1
eyeball sensitive to touch,nightly pains of extreme severity,1.0,1
eyeball sensitive to touch,commencing valvular disease,1.0,1
eyeball sensitive to touch,tongue coated yellow,1.0,1
eyeball sensitive to touch,contraction of flexors of fingers,1.0,1
eyeball sensitive to touch,painful contractions of muscles of chest,1.0,1
eyeball sensitive to touch,stitches in bends of elbows,1.0,1
eyeball sensitive to touch,gonorrheal ophthalmia,1.0,1
eyeball sensitive to touch,sensitive to slightest touch,1.0,1
eyeball sensitive to touch,rheumatism of nape of neck,1.0,1
eyeball sensitive to touch,tongue coated white,1.0,1
eyeball sensitive to touch,cannot get enough air,1.0,1
eyeball sensitive to touch,pains radiating back into head,1.0,1
eyeball sensitive to touch,itching of nose,1.0,1
eyeball sensitive to touch,stinging pains in limbs,1.0,1
eyeball sensitive to touch,neuralgic pains from cold damp rainy weather,1.0,1
eyeball sensitive to touch,hard nodosities of hands,1.0,1
eyeball sensitive to touch,stitching in joints,1.0,1
eyeball sensitive to touch,severe neuralgic pains,1.0,1
eyeball sensitive to touch,pericarditis,1.0,1
eyeball sensitive to touch,hard nodosities of toes,1.0,1
eyeball sensitive to touch,stitches about heart,1.0,1
eyeball sensitive to touch,sticking pains through eyeballs,1.0,1
eyeball sensitive to touch,dilated pupils,1.0,1
eyeball sensitive to touch,tearing pain in phalanges of right thumb,1.0,1
eyeball sensitive to touch,rheumatic troubles in left side of chest,1.0,1
eyeball sensitive to touch,very sensitive to cold air,1.0,1
eyeball sensitive to touch,sticking pains,1.0,1
eyeball sensitive to touch,severe pain,1.0,1
eyeball sensitive to touch,pains radiate to bones of eye socket,1.0,1
eyeball sensitive to touch,rheumatic inflammations of heart,1.0,1
eyeball sensitive to touch,endocarditis,1.0,1
eyeball sensitive to touch,endocarditis with insufficiency of mitral valve,1.0,1
eyeball sensitive to touch,persistent stitch in left thigh,1.0,1
eyeball sensitive to touch,cutting piercing pain through left chest near sternum to back,1.0,1
hard nodosities of toes,cataract of left eye,1.0,1
hard nodosities of toes,sharp stabbing pains through eyeballs,1.0,1
hard nodosities of toes,rheumatic affections of heart,1.0,1
hard nodosities of toes,systolic blowing at apex,1.0,1
hard nodosities of toes,tearing pain as of a sprain,1.0,1
hard nodosities of toes,suffocative spells from least motion,1.0,1
hard nodosities of toes,slightest jar causes intense pain,1.0,1
hard nodosities of toes,pericarditis in rheumatism,1.0,1
hard nodosities of toes,painful numbness,1.0,1
hard nodosities of toes,severe stitching pains in cardiac region,1.0,1
hard nodosities of toes,putrid odour from mouth,1.0,1
hard nodosities of toes,stabbing pains,1.0,1
hard nodosities of toes,precordial pain,1.0,1
hard nodosities of toes,severe dyspnea,1.0,1
hard nodosities of toes,dyspnea from lying on back,1.0,1
