### Cluster 36 — Symptoms (42)
Symptom,Frequency
swelling of finger joints,2
rheumatic endocarditis,1
gasping respiration,1
stitches in muscles,1
painful stiffness of muscles of neck,1
severe stitches in internal muscles of forearm,1
redness of finger joints,1
boring pain at elbow,1
oppressed respiration,1
spasms of acute cardiac pain,1
drawing stitches in hands,1
drawing stitches in forearms,1
tension of cervical muscles,1
painful sensation of stiffness in left side of neck,1
cardiac symptoms,1
every excitement increases condition,1
fibrous deposits on valves of heart,1
feeling of lameness from right knee to hip,1
trembling in all the limbs,1
muscular twitching about left shoulder joint,1
especially right side,1
feels as if suffocated,1
valvular insufficiency,1
dull stitch in right lumbar muscles,1
metastasis to heart of rheumatism of lumbar region,1
worse on bending head,1
stinging pressing in precordial region,1
cramp-like pain in ball of thumb,1
awakens with trembling,1
pain in upper arms with chills,1
pain,1
awakens in a fright,1
induration,1
loud blowing with each beat,1
awakens with fear,1
waking with sense of suffocation,1
drawing pain from lower portion of right foot to thigh,1
tension on bending finger joints,1
inability to lie down,1
back of neck snaps on stooping,1
frequent waking with a start,1
boring from body outward,1

### Top Remedies
Remedy,Symptoms_Covered
spongia,42
caulophyllum,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
severe stitches in internal muscles of forearm,rheumatic endocarditis,1.0,1
severe stitches in internal muscles of forearm,gasping respiration,1.0,1
severe stitches in internal muscles of forearm,stitches in muscles,1.0,1
severe stitches in internal muscles of forearm,painful stiffness of muscles of neck,1.0,1
severe stitches in internal muscles of forearm,redness of finger joints,1.0,1
severe stitches in internal muscles of forearm,boring pain at elbow,1.0,1
severe stitches in internal muscles of forearm,swelling of finger joints,1.0,1
severe stitches in internal muscles of forearm,oppressed respiration,1.0,1
severe stitches in internal muscles of forearm,spasms of acute cardiac pain,1.0,1
severe stitches in internal muscles of forearm,drawing stitches in hands,1.0,1
severe stitches in internal muscles of forearm,drawing stitches in forearms,1.0,1
severe stitches in internal muscles of forearm,tension of cervical muscles,1.0,1
severe stitches in internal muscles of forearm,painful sensation of stiffness in left side of neck,1.0,1
severe stitches in internal muscles of forearm,cardiac symptoms,1.0,1
severe stitches in internal muscles of forearm,every excitement increases condition,1.0,1
severe stitches in internal muscles of forearm,fibrous deposits on valves of heart,1.0,1
severe stitches in internal muscles of forearm,feeling of lameness from right knee to hip,1.0,1
severe stitches in internal muscles of forearm,trembling in all the limbs,1.0,1
severe stitches in internal muscles of forearm,muscular twitching about left shoulder joint,1.0,1
severe stitches in internal muscles of forearm,especially right side,1.0,1
severe stitches in internal muscles of forearm,feels as if suffocated,1.0,1
severe stitches in internal muscles of forearm,valvular insufficiency,1.0,1
severe stitches in internal muscles of forearm,dull stitch in right lumbar muscles,1.0,1
severe stitches in internal muscles of forearm,metastasis to heart of rheumatism of lumbar region,1.0,1
severe stitches in internal muscles of forearm,worse on bending head,1.0,1
severe stitches in internal muscles of forearm,stinging pressing in precordial region,1.0,1
severe stitches in internal muscles of forearm,cramp-like pain in ball of thumb,1.0,1
severe stitches in internal muscles of forearm,awakens with trembling,1.0,1
severe stitches in internal muscles of forearm,pain in upper arms with chills,1.0,1
severe stitches in internal muscles of forearm,pain,1.0,1
severe stitches in internal muscles of forearm,awakens in a fright,1.0,1
severe stitches in internal muscles of forearm,induration,1.0,1
severe stitches in internal muscles of forearm,loud blowing with each beat,1.0,1
severe stitches in internal muscles of forearm,awakens with fear,1.0,1
severe stitches in internal muscles of forearm,waking with sense of suffocation,1.0,1
severe stitches in internal muscles of forearm,drawing pain from lower portion of right foot to thigh,1.0,1
severe stitches in internal muscles of forearm,tension on bending finger joints,1.0,1
severe stitches in internal muscles of forearm,inability to lie down,1.0,1
severe stitches in internal muscles of forearm,back of neck snaps on stooping,1.0,1
severe stitches in internal muscles of forearm,frequent waking with a start,1.0,1
severe stitches in internal muscles of forearm,boring from body outward,1.0,1
metastasis to heart of rheumatism of lumbar region,rheumatic endocarditis,1.0,1
metastasis to heart of rheumatism of lumbar region,gasping respiration,1.0,1
metastasis to heart of rheumatism of lumbar region,stitches in muscles,1.0,1
metastasis to heart of rheumatism of lumbar region,painful stiffness of muscles of neck,1.0,1
