### Cluster 37 — Symptoms (44)
Symptom,Frequency
rigidity with pains,1
severe pains in loins,1
severe pains in back,1
drawing pains in joints of arms,1
severe drawing in sterno-cleidomastoid muscle,2
affects wrists,1
severe drawing in fingers,2
pain in feet,1
acrid leucorrhoea,1
sharp pain in knee joints,1
has to lift eyelids with hand,1
oppression of chest with pains,1
sensation as if uterus were congested,1
pain in toes,1
fullness in uterus,1
severe drawing in wrists,2
cutting in joints when closing hands,1
weakening leucorrhoea,1
pains remain only a short time in one place,1
very painful menses,1
knees weak when walking,1
spasmodic dysmenorrhoea,1
affects fingers,1
great heaviness of eyelids,1
associated with deranged female sexual system,1
flying pains in arms,1
rheumatic conditions of small joints,1
dull pains in lumbar region,1
menses too soon,1
fingers very stiff,1
affects ankles,1
rheumatism of finger joints,1
rheumatic conditions of pregnancy,1
pains shift to another place,1
affects toes,1
swelling of wrists,1
tension in uterus,1
rheumatism especially of small joints,1
tremulous weakness over whole body,2
drawing pains in joints of legs,1
rheumatic stiffness of nape of neck,2
rheumatism of wrists,3
pains shifting to nape of neck,1
pains shift to nape of neck,1

### Top Remedies
Remedy,Symptoms_Covered
caulophyllum,44
viola odorata,1
ferrum phosphoricum,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
knees weak when walking,rigidity with pains,1.0,1
knees weak when walking,severe pains in loins,1.0,1
knees weak when walking,severe pains in back,1.0,1
knees weak when walking,drawing pains in joints of arms,1.0,1
knees weak when walking,severe drawing in sterno-cleidomastoid muscle,1.0,1
knees weak when walking,affects wrists,1.0,1
knees weak when walking,severe drawing in fingers,1.0,1
knees weak when walking,pain in feet,1.0,1
knees weak when walking,acrid leucorrhoea,1.0,1
knees weak when walking,sharp pain in knee joints,1.0,1
knees weak when walking,has to lift eyelids with hand,1.0,1
knees weak when walking,oppression of chest with pains,1.0,1
knees weak when walking,sensation as if uterus were congested,1.0,1
knees weak when walking,pain in toes,1.0,1
knees weak when walking,fullness in uterus,1.0,1
knees weak when walking,severe drawing in wrists,1.0,1
knees weak when walking,cutting in joints when closing hands,1.0,1
knees weak when walking,weakening leucorrhoea,1.0,1
knees weak when walking,pains remain only a short time in one place,1.0,1
knees weak when walking,very painful menses,1.0,1
knees weak when walking,spasmodic dysmenorrhoea,1.0,1
knees weak when walking,affects fingers,1.0,1
knees weak when walking,great heaviness of eyelids,1.0,1
knees weak when walking,associated with deranged female sexual system,1.0,1
knees weak when walking,flying pains in arms,1.0,1
knees weak when walking,rheumatic conditions of small joints,1.0,1
knees weak when walking,dull pains in lumbar region,1.0,1
knees weak when walking,menses too soon,1.0,1
knees weak when walking,fingers very stiff,1.0,1
knees weak when walking,affects ankles,1.0,1
knees weak when walking,rheumatism of finger joints,1.0,1
knees weak when walking,rheumatic conditions of pregnancy,1.0,1
knees weak when walking,pains shift to another place,1.0,1
knees weak when walking,affects toes,1.0,1
knees weak when walking,swelling of wrists,1.0,1
knees weak when walking,tension in uterus,1.0,1
knees weak when walking,rheumatism especially of small joints,1.0,1
knees weak when walking,tremulous weakness over whole body,1.0,1
knees weak when walking,drawing pains in joints of legs,1.0,1
knees weak when walking,rheumatic stiffness of nape of neck,1.0,1
knees weak when walking,rheumatism of wrists,1.0,1
knees weak when walking,pains shifting to nape of neck,1.0,1
knees weak when walking,pains shift to nape of neck,1.0,1
rigidity with pains,severe pains in loins,1.0,1
rigidity with pains,severe pains in back,1.0,1
rigidity with pains,drawing pains in joints of arms,1.0,1
rigidity with pains,severe drawing in sterno-cleidomastoid muscle,1.0,1
rigidity with pains,affects wrists,1.0,1
rigidity with pains,severe drawing in fingers,1.0,1
rigidity with pains,pain in feet,1.0,1
rigidity with pains,acrid leucorrhoea,1.0,1
rigidity with pains,sharp pain in knee joints,1.0,1
rigidity with pains,has to lift eyelids with hand,1.0,1
rigidity with pains,oppression of chest with pains,1.0,1
rigidity with pains,sensation as if uterus were congested,1.0,1
rigidity with pains,pain in toes,1.0,1
rigidity with pains,fullness in uterus,1.0,1
rigidity with pains,severe drawing in wrists,1.0,1
rigidity with pains,cutting in joints when closing hands,1.0,1
rigidity with pains,weakening leucorrhoea,1.0,1
rigidity with pains,pains remain only a short time in one place,1.0,1
rigidity with pains,very painful menses,1.0,1
rigidity with pains,knees weak when walking,1.0,1
rigidity with pains,spasmodic dysmenorrhoea,1.0,1
rigidity with pains,affects fingers,1.0,1
rigidity with pains,great heaviness of eyelids,1.0,1
rigidity with pains,associated with deranged female sexual system,1.0,1
rigidity with pains,flying pains in arms,1.0,1
rigidity with pains,rheumatic conditions of small joints,1.0,1
rigidity with pains,dull pains in lumbar region,1.0,1
rigidity with pains,menses too soon,1.0,1
rigidity with pains,fingers very stiff,1.0,1
rigidity with pains,affects ankles,1.0,1
rigidity with pains,rheumatism of finger joints,1.0,1
rigidity with pains,rheumatic conditions of pregnancy,1.0,1
rigidity with pains,pains shift to another place,1.0,1
rigidity with pains,affects toes,1.0,1
rigidity with pains,swelling of wrists,1.0,1
rigidity with pains,tension in uterus,1.0,1
rigidity with pains,rheumatism especially of small joints,1.0,1
rigidity with pains,tremulous weakness over whole body,1.0,1
rigidity with pains,drawing pains in joints of legs,1.0,1
rigidity with pains,rheumatic stiffness of nape of neck,1.0,1
rigidity with pains,rheumatism of wrists,1.0,1
