### Cluster 39 — Symptoms (28)
Symptom,Frequency
cramp-like drawing in hands,2
boring nose with finger,1
single small jerking stitches in other hand,2
noise like water running from throat to abdomen,1
white about the mouth,1
tearing jerking pain in middle of spine,2
intermitting form of rheumatism,1
drawing tearing pain along whole spine,2
pain in limbs,1
distortion of limbs,1
left leg semi-flexed on abdomen,1
spasmodic twitching of limbs,2
convulsion of extensor muscles,1
lancinating pain in upper spinal column,1
spasmodic contractions of hands,2
small of back pain not worse by stooping,1
cramp-like drawing in arms,2
pain in loins as after long standing,1
jerking of limbs,2
upper arm pain worse from motion,1
left leg semi-flexed on itself,1
paralytic pain in left thigh near knee,1
single small jerking stitches in one hand,2
boring pinching pains in upper arms,2
sprained feeling in wrist joint,1
ravenous hunger,1
lancinating pain toward right scapula,1
grinding teeth at night,1

### Top Remedies
Remedy,Symptoms_Covered
cina,28
opium,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
grinding teeth at night,cramp-like drawing in hands,1.0,1
grinding teeth at night,boring nose with finger,1.0,1
grinding teeth at night,single small jerking stitches in other hand,1.0,1
grinding teeth at night,noise like water running from throat to abdomen,1.0,1
grinding teeth at night,white about the mouth,1.0,1
grinding teeth at night,tearing jerking pain in middle of spine,1.0,1
grinding teeth at night,intermitting form of rheumatism,1.0,1
grinding teeth at night,drawing tearing pain along whole spine,1.0,1
grinding teeth at night,pain in limbs,1.0,1
grinding teeth at night,distortion of limbs,1.0,1
grinding teeth at night,left leg semi-flexed on abdomen,1.0,1
grinding teeth at night,spasmodic twitching of limbs,1.0,1
grinding teeth at night,convulsion of extensor muscles,1.0,1
grinding teeth at night,lancinating pain in upper spinal column,1.0,1
grinding teeth at night,spasmodic contractions of hands,1.0,1
grinding teeth at night,small of back pain not worse by stooping,1.0,1
grinding teeth at night,cramp-like drawing in arms,1.0,1
grinding teeth at night,pain in loins as after long standing,1.0,1
grinding teeth at night,jerking of limbs,1.0,1
grinding teeth at night,upper arm pain worse from motion,1.0,1
grinding teeth at night,left leg semi-flexed on itself,1.0,1
grinding teeth at night,paralytic pain in left thigh near knee,1.0,1
grinding teeth at night,single small jerking stitches in one hand,1.0,1
grinding teeth at night,boring pinching pains in upper arms,1.0,1
grinding teeth at night,sprained feeling in wrist joint,1.0,1
grinding teeth at night,ravenous hunger,1.0,1
grinding teeth at night,lancinating pain toward right scapula,1.0,1
single small jerking stitches in other hand,cramp-like drawing in hands,1.0,1
single small jerking stitches in other hand,boring nose with finger,1.0,1
single small jerking stitches in other hand,noise like water running from throat to abdomen,1.0,1
single small jerking stitches in other hand,white about the mouth,1.0,1
single small jerking stitches in other hand,tearing jerking pain in middle of spine,1.0,1
single small jerking stitches in other hand,intermitting form of rheumatism,1.0,1
single small jerking stitches in other hand,drawing tearing pain along whole spine,1.0,1
single small jerking stitches in other hand,pain in limbs,1.0,1
single small jerking stitches in other hand,distortion of limbs,1.0,1
single small jerking stitches in other hand,left leg semi-flexed on abdomen,1.0,1
single small jerking stitches in other hand,spasmodic twitching of limbs,1.0,1
single small jerking stitches in other hand,convulsion of extensor muscles,1.0,1
single small jerking stitches in other hand,lancinating pain in upper spinal column,1.0,1
single small jerking stitches in other hand,spasmodic contractions of hands,1.0,1
single small jerking stitches in other hand,small of back pain not worse by stooping,1.0,1
single small jerking stitches in other hand,cramp-like drawing in arms,1.0,1
single small jerking stitches in other hand,pain in loins as after long standing,1.0,1
single small jerking stitches in other hand,jerking of limbs,1.0,1
single small jerking stitches in other hand,upper arm pain worse from motion,1.0,1
single small jerking stitches in other hand,left leg semi-flexed on itself,1.0,1
single small jerking stitches in other hand,paralytic pain in left thigh near knee,1.0,1
single small jerking stitches in other hand,single small jerking stitches in one hand,1.0,1
single small jerking stitches in other hand,boring pinching pains in upper arms,1.0,1
single small jerking stitches in other hand,sprained feeling in wrist joint,1.0,1
single small jerking stitches in other hand,ravenous hunger,1.0,1
single small jerking stitches in other hand,lancinating pain toward right scapula,1.0,1
single small jerking stitches in other hand,grinding teeth at night,1.0,1
cramp-like drawing in hands,boring nose with finger,1.0,1
cramp-like drawing in hands,single small jerking stitches in other hand,1.0,1
cramp-like drawing in hands,noise like water running from throat to abdomen,1.0,1
cramp-like drawing in hands,white about the mouth,1.0,1
cramp-like drawing in hands,tearing jerking pain in middle of spine,1.0,1
cramp-like drawing in hands,intermitting form of rheumatism,1.0,1
cramp-like drawing in hands,drawing tearing pain along whole spine,1.0,1
cramp-like drawing in hands,pain in limbs,1.0,1
cramp-like drawing in hands,distortion of limbs,1.0,1
cramp-like drawing in hands,left leg semi-flexed on abdomen,1.0,1
cramp-like drawing in hands,spasmodic twitching of limbs,1.0,1
cramp-like drawing in hands,convulsion of extensor muscles,1.0,1
cramp-like drawing in hands,lancinating pain in upper spinal column,1.0,1
cramp-like drawing in hands,spasmodic contractions of hands,1.0,1
cramp-like drawing in hands,small of back pain not worse by stooping,1.0,1
cramp-like drawing in hands,cramp-like drawing in arms,1.0,1
cramp-like drawing in hands,pain in loins as after long standing,1.0,1
cramp-like drawing in hands,jerking of limbs,1.0,1
cramp-like drawing in hands,upper arm pain worse from motion,1.0,1
cramp-like drawing in hands,left leg semi-flexed on itself,1.0,1
cramp-like drawing in hands,paralytic pain in left thigh near knee,1.0,1
cramp-like drawing in hands,single small jerking stitches in one hand,1.0,1
cramp-like drawing in hands,boring pinching pains in upper arms,1.0,1
cramp-like drawing in hands,sprained feeling in wrist joint,1.0,1
cramp-like drawing in hands,ravenous hunger,1.0,1
cramp-like drawing in hands,lancinating pain toward right scapula,1.0,1
cramp-like drawing in hands,grinding teeth at night,1.0,1
white about the mouth,cramp-like drawing in hands,1.0,1
white about the mouth,boring nose with finger,1.0,1
white about the mouth,single small jerking stitches in other hand,1.0,1
white about the mouth,noise like water running from throat to abdomen,1.0,1
white about the mouth,tearing jerking pain in middle of spine,1.0,1
white about the mouth,intermitting form of rheumatism,1.0,1
white about the mouth,drawing tearing pain along whole spine,1.0,1
white about the mouth,pain in limbs,1.0,1
white about the mouth,distortion of limbs,1.0,1
white about the mouth,left leg semi-flexed on abdomen,1.0,1
white about the mouth,spasmodic twitching of limbs,1.0,1
white about the mouth,convulsion of extensor muscles,1.0,1
white about the mouth,lancinating pain in upper spinal column,1.0,1
white about the mouth,spasmodic contractions of hands,1.0,1
white about the mouth,small of back pain not worse by stooping,1.0,1
white about the mouth,cramp-like drawing in arms,1.0,1
white about the mouth,pain in loins as after long standing,1.0,1
white about the mouth,jerking of limbs,1.0,1
white about the mouth,upper arm pain worse from motion,1.0,1
white about the mouth,left leg semi-flexed on itself,1.0,1
white about the mouth,paralytic pain in left thigh near knee,1.0,1
white about the mouth,single small jerking stitches in one hand,1.0,1
white about the mouth,boring pinching pains in upper arms,1.0,1
white about the mouth,sprained feeling in wrist joint,1.0,1
white about the mouth,ravenous hunger,1.0,1
white about the mouth,lancinating pain toward right scapula,1.0,1
white about the mouth,grinding teeth at night,1.0,1
distortion of limbs,cramp-like drawing in hands,1.0,1
distortion of limbs,boring nose with finger,1.0,1
distortion of limbs,single small jerking stitches in other hand,1.0,1
distortion of limbs,noise like water running from throat to abdomen,1.0,1
distortion of limbs,white about the mouth,1.0,1
distortion of limbs,tearing jerking pain in middle of spine,1.0,1
distortion of limbs,intermitting form of rheumatism,1.0,1
distortion of limbs,drawing tearing pain along whole spine,1.0,1
distortion of limbs,pain in limbs,1.0,1
distortion of limbs,left leg semi-flexed on abdomen,1.0,1
distortion of limbs,spasmodic twitching of limbs,1.0,1
distortion of limbs,convulsion of extensor muscles,1.0,1
distortion of limbs,lancinating pain in upper spinal column,1.0,1
distortion of limbs,spasmodic contractions of hands,1.0,1
distortion of limbs,small of back pain not worse by stooping,1.0,1
distortion of limbs,cramp-like drawing in arms,1.0,1
distortion of limbs,pain in loins as after long standing,1.0,1
distortion of limbs,jerking of limbs,1.0,1
distortion of limbs,upper arm pain worse from motion,1.0,1
distortion of limbs,left leg semi-flexed on itself,1.0,1
distortion of limbs,paralytic pain in left thigh near knee,1.0,1
distortion of limbs,single small jerking stitches in one hand,1.0,1
distortion of limbs,boring pinching pains in upper arms,1.0,1
distortion of limbs,sprained feeling in wrist joint,1.0,1
distortion of limbs,ravenous hunger,1.0,1
distortion of limbs,lancinating pain toward right scapula,1.0,1
distortion of limbs,grinding teeth at night,1.0,1
lancinating pain toward right scapula,cramp-like drawing in hands,1.0,1
lancinating pain toward right scapula,boring nose with finger,1.0,1
lancinating pain toward right scapula,single small jerking stitches in other hand,1.0,1
lancinating pain toward right scapula,noise like water running from throat to abdomen,1.0,1
lancinating pain toward right scapula,white about the mouth,1.0,1
lancinating pain toward right scapula,tearing jerking pain in middle of spine,1.0,1
lancinating pain toward right scapula,intermitting form of rheumatism,1.0,1
lancinating pain toward right scapula,drawing tearing pain along whole spine,1.0,1
lancinating pain toward right scapula,pain in limbs,1.0,1
lancinating pain toward right scapula,distortion of limbs,1.0,1
lancinating pain toward right scapula,left leg semi-flexed on abdomen,1.0,1
lancinating pain toward right scapula,spasmodic twitching of limbs,1.0,1
lancinating pain toward right scapula,convulsion of extensor muscles,1.0,1
lancinating pain toward right scapula,lancinating pain in upper spinal column,1.0,1
lancinating pain toward right scapula,spasmodic contractions of hands,1.0,1
lancinating pain toward right scapula,small of back pain not worse by stooping,1.0,1
lancinating pain toward right scapula,cramp-like drawing in arms,1.0,1
lancinating pain toward right scapula,pain in loins as after long standing,1.0,1
lancinating pain toward right scapula,jerking of limbs,1.0,1
lancinating pain toward right scapula,upper arm pain worse from motion,1.0,1
lancinating pain toward right scapula,left leg semi-flexed on itself,1.0,1
lancinating pain toward right scapula,paralytic pain in left thigh near knee,1.0,1
lancinating pain toward right scapula,single small jerking stitches in one hand,1.0,1
lancinating pain toward right scapula,boring pinching pains in upper arms,1.0,1
lancinating pain toward right scapula,sprained feeling in wrist joint,1.0,1
lancinating pain toward right scapula,ravenous hunger,1.0,1
lancinating pain toward right scapula,grinding teeth at night,1.0,1
cramp-like drawing in arms,cramp-like drawing in hands,1.0,1
cramp-like drawing in arms,boring nose with finger,1.0,1
cramp-like drawing in arms,single small jerking stitches in other hand,1.0,1
cramp-like drawing in arms,noise like water running from throat to abdomen,1.0,1
cramp-like drawing in arms,white about the mouth,1.0,1
cramp-like drawing in arms,tearing jerking pain in middle of spine,1.0,1
cramp-like drawing in arms,intermitting form of rheumatism,1.0,1
cramp-like drawing in arms,drawing tearing pain along whole spine,1.0,1
cramp-like drawing in arms,pain in limbs,1.0,1
cramp-like drawing in arms,distortion of limbs,1.0,1
cramp-like drawing in arms,left leg semi-flexed on abdomen,1.0,1
cramp-like drawing in arms,spasmodic twitching of limbs,1.0,1
cramp-like drawing in arms,convulsion of extensor muscles,1.0,1
cramp-like drawing in arms,lancinating pain in upper spinal column,1.0,1
cramp-like drawing in arms,spasmodic contractions of hands,1.0,1
cramp-like drawing in arms,small of back pain not worse by stooping,1.0,1
cramp-like drawing in arms,pain in loins as after long standing,1.0,1
cramp-like drawing in arms,jerking of limbs,1.0,1
cramp-like drawing in arms,upper arm pain worse from motion,1.0,1
cramp-like drawing in arms,left leg semi-flexed on itself,1.0,1
cramp-like drawing in arms,paralytic pain in left thigh near knee,1.0,1
cramp-like drawing in arms,single small jerking stitches in one hand,1.0,1
cramp-like drawing in arms,boring pinching pains in upper arms,1.0,1
cramp-like drawing in arms,sprained feeling in wrist joint,1.0,1
cramp-like drawing in arms,ravenous hunger,1.0,1
cramp-like drawing in arms,lancinating pain toward right scapula,1.0,1
cramp-like drawing in arms,grinding teeth at night,1.0,1
sprained feeling in wrist joint,cramp-like drawing in hands,1.0,1
sprained feeling in wrist joint,boring nose with finger,1.0,1
sprained feeling in wrist joint,single small jerking stitches in other hand,1.0,1
sprained feeling in wrist joint,noise like water running from throat to abdomen,1.0,1
sprained feeling in wrist joint,white about the mouth,1.0,1
sprained feeling in wrist joint,tearing jerking pain in middle of spine,1.0,1
sprained feeling in wrist joint,intermitting form of rheumatism,1.0,1
sprained feeling in wrist joint,drawing tearing pain along whole spine,1.0,1
sprained feeling in wrist joint,pain in limbs,1.0,1
sprained feeling in wrist joint,distortion of limbs,1.0,1
sprained feeling in wrist joint,left leg semi-flexed on abdomen,1.0,1
sprained feeling in wrist joint,spasmodic twitching of limbs,1.0,1
sprained feeling in wrist joint,convulsion of extensor muscles,1.0,1
sprained feeling in wrist joint,lancinating pain in upper spinal column,1.0,1
sprained feeling in wrist joint,spasmodic contractions of hands,1.0,1
sprained feeling in wrist joint,small of back pain not worse by stooping,1.0,1
sprained feeling in wrist joint,cramp-like drawing in arms,1.0,1
sprained feeling in wrist joint,pain in loins as after long standing,1.0,1
sprained feeling in wrist joint,jerking of limbs,1.0,1
sprained feeling in wrist joint,upper arm pain worse from motion,1.0,1
sprained feeling in wrist joint,left leg semi-flexed on itself,1.0,1
