### Cluster 40 — Symptoms (32)
Symptom,Frequency
pains around left knee as if something were tight,1
cannot put foot to ground when walking but only when standing,1
rheumatic pain in shoulders worse at night,1
pain as from dislocation of shoulder joint when moving it,1
lax fibres,1
pain in shoulder,1
soreness in chest and region of heart,1
especially suitable for children of irritable disposition,1
pains neuralgic lightning-like,1
many neuralgic pains,1
drawing pains in legs and feet,1
suitable for dark-haired sensitive people who are spare and thin,1
suitable for worn out women,1
must get up and walk,1
sour smelling,1
can hardly raise arm,1
unrefreshing sleep,1
swelling in bend of knee very painful,1
knees painful when walking,1
stitches,1
more tired in morning than when going to bed,1
restless,1
great internal heat at night,1
pains insupportable during repose,1
stitch from without inward in precordial region,1
adapted to children of irritable nervous disposition,1
no swelling or soreness,1
much pain in right shoulder,1
red swelling of fingers,1
lameness of right arm,1
feet painful when lying in bed,1
rheumatic pain in shoulders with tingling down fingers prevents least motion,1

### Top Remedies
Remedy,Symptoms_Covered
magnesia carbonica,32

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
pain as from dislocation of shoulder joint when moving it,pains around left knee as if something were tight,1.0,1
pain as from dislocation of shoulder joint when moving it,cannot put foot to ground when walking but only when standing,1.0,1
pain as from dislocation of shoulder joint when moving it,rheumatic pain in shoulders worse at night,1.0,1
pain as from dislocation of shoulder joint when moving it,lax fibres,1.0,1
pain as from dislocation of shoulder joint when moving it,pain in shoulder,1.0,1
pain as from dislocation of shoulder joint when moving it,soreness in chest and region of heart,1.0,1
pain as from dislocation of shoulder joint when moving it,especially suitable for children of irritable disposition,1.0,1
pain as from dislocation of shoulder joint when moving it,pains neuralgic lightning-like,1.0,1
pain as from dislocation of shoulder joint when moving it,many neuralgic pains,1.0,1
pain as from dislocation of shoulder joint when moving it,drawing pains in legs and feet,1.0,1
pain as from dislocation of shoulder joint when moving it,suitable for dark-haired sensitive people who are spare and thin,1.0,1
pain as from dislocation of shoulder joint when moving it,suitable for worn out women,1.0,1
pain as from dislocation of shoulder joint when moving it,must get up and walk,1.0,1
pain as from dislocation of shoulder joint when moving it,sour smelling,1.0,1
pain as from dislocation of shoulder joint when moving it,can hardly raise arm,1.0,1
pain as from dislocation of shoulder joint when moving it,unrefreshing sleep,1.0,1
pain as from dislocation of shoulder joint when moving it,swelling in bend of knee very painful,1.0,1
pain as from dislocation of shoulder joint when moving it,knees painful when walking,1.0,1
pain as from dislocation of shoulder joint when moving it,stitches,1.0,1
pain as from dislocation of shoulder joint when moving it,more tired in morning than when going to bed,1.0,1
pain as from dislocation of shoulder joint when moving it,restless,1.0,1
pain as from dislocation of shoulder joint when moving it,great internal heat at night,1.0,1
pain as from dislocation of shoulder joint when moving it,pains insupportable during repose,1.0,1
pain as from dislocation of shoulder joint when moving it,stitch from without inward in precordial region,1.0,1
pain as from dislocation of shoulder joint when moving it,adapted to children of irritable nervous disposition,1.0,1
pain as from dislocation of shoulder joint when moving it,no swelling or soreness,1.0,1
pain as from dislocation of shoulder joint when moving it,much pain in right shoulder,1.0,1
pain as from dislocation of shoulder joint when moving it,red swelling of fingers,1.0,1
pain as from dislocation of shoulder joint when moving it,lameness of right arm,1.0,1
pain as from dislocation of shoulder joint when moving it,feet painful when lying in bed,1.0,1
pain as from dislocation of shoulder joint when moving it,rheumatic pain in shoulders with tingling down fingers prevents least motion,1.0,1
knees painful when walking,pains around left knee as if something were tight,1.0,1
knees painful when walking,cannot put foot to ground when walking but only when standing,1.0,1
knees painful when walking,rheumatic pain in shoulders worse at night,1.0,1
knees painful when walking,pain as from dislocation of shoulder joint when moving it,1.0,1
knees painful when walking,lax fibres,1.0,1
knees painful when walking,pain in shoulder,1.0,1
knees painful when walking,soreness in chest and region of heart,1.0,1
knees painful when walking,especially suitable for children of irritable disposition,1.0,1
knees painful when walking,pains neuralgic lightning-like,1.0,1
knees painful when walking,many neuralgic pains,1.0,1
knees painful when walking,drawing pains in legs and feet,1.0,1
knees painful when walking,suitable for dark-haired sensitive people who are spare and thin,1.0,1
knees painful when walking,suitable for worn out women,1.0,1
knees painful when walking,must get up and walk,1.0,1
knees painful when walking,sour smelling,1.0,1
knees painful when walking,can hardly raise arm,1.0,1
knees painful when walking,unrefreshing sleep,1.0,1
knees painful when walking,swelling in bend of knee very painful,1.0,1
knees painful when walking,stitches,1.0,1
knees painful when walking,more tired in morning than when going to bed,1.0,1
knees painful when walking,restless,1.0,1
knees painful when walking,great internal heat at night,1.0,1
knees painful when walking,pains insupportable during repose,1.0,1
knees painful when walking,stitch from without inward in precordial region,1.0,1
knees painful when walking,adapted to children of irritable nervous disposition,1.0,1
knees painful when walking,no swelling or soreness,1.0,1
knees painful when walking,much pain in right shoulder,1.0,1
knees painful when walking,red swelling of fingers,1.0,1
knees painful when walking,lameness of right arm,1.0,1
knees painful when walking,feet painful when lying in bed,1.0,1
knees painful when walking,rheumatic pain in shoulders with tingling down fingers prevents least motion,1.0,1
lameness of right arm,pains around left knee as if something were tight,1.0,1
lameness of right arm,cannot put foot to ground when walking but only when standing,1.0,1
lameness of right arm,rheumatic pain in shoulders worse at night,1.0,1
lameness of right arm,pain as from dislocation of shoulder joint when moving it,1.0,1
lameness of right arm,lax fibres,1.0,1
lameness of right arm,pain in shoulder,1.0,1
lameness of right arm,soreness in chest and region of heart,1.0,1
lameness of right arm,especially suitable for children of irritable disposition,1.0,1
lameness of right arm,pains neuralgic lightning-like,1.0,1
lameness of right arm,many neuralgic pains,1.0,1
lameness of right arm,drawing pains in legs and feet,1.0,1
lameness of right arm,suitable for dark-haired sensitive people who are spare and thin,1.0,1
lameness of right arm,suitable for worn out women,1.0,1
lameness of right arm,must get up and walk,1.0,1
lameness of right arm,sour smelling,1.0,1
lameness of right arm,can hardly raise arm,1.0,1
lameness of right arm,unrefreshing sleep,1.0,1
lameness of right arm,swelling in bend of knee very painful,1.0,1
lameness of right arm,knees painful when walking,1.0,1
lameness of right arm,stitches,1.0,1
lameness of right arm,more tired in morning than when going to bed,1.0,1
