### Cluster 48 — Symptoms (46)
Symptom,Frequency
joint swelling after fatigue,1
tender wrist joints,1
tingling of limbs,1
swollen small joints,1
resembles caulophyllum but affects men more,1
chronic joint stiffness with exacerbations,1
affinity for small joints of hands,1
throbbing in liver,1
beating in liver,1
boring pains better from stretching,1
numb fingers,1
face sensitive,1
intolerable pain in right wrist,1
swollen foot joints after walking,1
tender finger joints,1
throbbing in right hypochondrium sensitive to pressure,1
repulsive food,1
excruciating pain in wrist joints worse at night,1
spasmodic bowel action,1
swollen right wrist,1
beating in right hypochondrium sensitive to pressure,1
discolored fingers,1
tearing pain in face from decayed tooth to temples,1
throbbing pain in kidney region,1
slightest pressure near little finger causes cries,1
weakness after weather change,1
rheumatism from suppressed sweat,1
rheumatic pains of small joints especially hands,1
excruciating pain in finger joints worse at night,1
thighs tremble when raised,1
warm sweat especially on side lain on,1
pulling pain in face from decayed tooth to temples,1
painful liver pressure,1
numbness of hands,1
reeling as if drunk,1
brick dust in urine,1
chronic joint enlargement,1
affinity for small joints of feet,1
tearing epigastric pain with vomiting,1
bruised pain in sacrum worse lying on side,1
sour vomiting,3
giddiness,1
warm sweat on head,1
weary knees,1
pulse 120,1
motion impossible in right wrist,1

### Top Remedies
Remedy,Symptoms_Covered
actea spicata,46
natrum phosphoricum,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
swollen small joints,joint swelling after fatigue,1.0,1
swollen small joints,tender wrist joints,1.0,1
swollen small joints,tingling of limbs,1.0,1
swollen small joints,resembles caulophyllum but affects men more,1.0,1
swollen small joints,chronic joint stiffness with exacerbations,1.0,1
swollen small joints,affinity for small joints of hands,1.0,1
swollen small joints,throbbing in liver,1.0,1
swollen small joints,beating in liver,1.0,1
swollen small joints,boring pains better from stretching,1.0,1
swollen small joints,numb fingers,1.0,1
swollen small joints,face sensitive,1.0,1
swollen small joints,intolerable pain in right wrist,1.0,1
swollen small joints,swollen foot joints after walking,1.0,1
swollen small joints,tender finger joints,1.0,1
swollen small joints,throbbing in right hypochondrium sensitive to pressure,1.0,1
swollen small joints,repulsive food,1.0,1
swollen small joints,excruciating pain in wrist joints worse at night,1.0,1
swollen small joints,spasmodic bowel action,1.0,1
swollen small joints,swollen right wrist,1.0,1
swollen small joints,beating in right hypochondrium sensitive to pressure,1.0,1
swollen small joints,discolored fingers,1.0,1
swollen small joints,tearing pain in face from decayed tooth to temples,1.0,1
swollen small joints,throbbing pain in kidney region,1.0,1
swollen small joints,slightest pressure near little finger causes cries,1.0,1
swollen small joints,weakness after weather change,1.0,1
swollen small joints,rheumatism from suppressed sweat,1.0,1
swollen small joints,rheumatic pains of small joints especially hands,1.0,1
swollen small joints,excruciating pain in finger joints worse at night,1.0,1
swollen small joints,thighs tremble when raised,1.0,1
swollen small joints,warm sweat especially on side lain on,1.0,1
swollen small joints,pulling pain in face from decayed tooth to temples,1.0,1
swollen small joints,painful liver pressure,1.0,1
swollen small joints,numbness of hands,1.0,1
swollen small joints,reeling as if drunk,1.0,1
swollen small joints,brick dust in urine,1.0,1
swollen small joints,chronic joint enlargement,1.0,1
swollen small joints,affinity for small joints of feet,1.0,1
swollen small joints,tearing epigastric pain with vomiting,1.0,1
swollen small joints,bruised pain in sacrum worse lying on side,1.0,1
swollen small joints,sour vomiting,1.0,1
swollen small joints,giddiness,1.0,1
swollen small joints,warm sweat on head,1.0,1
swollen small joints,weary knees,1.0,1
swollen small joints,pulse 120,1.0,1
swollen small joints,motion impossible in right wrist,1.0,1
motion impossible in right wrist,joint swelling after fatigue,1.0,1
motion impossible in right wrist,tender wrist joints,1.0,1
motion impossible in right wrist,tingling of limbs,1.0,1
motion impossible in right wrist,swollen small joints,1.0,1
motion impossible in right wrist,resembles caulophyllum but affects men more,1.0,1
motion impossible in right wrist,chronic joint stiffness with exacerbations,1.0,1
motion impossible in right wrist,affinity for small joints of hands,1.0,1
motion impossible in right wrist,throbbing in liver,1.0,1
motion impossible in right wrist,beating in liver,1.0,1
motion impossible in right wrist,boring pains better from stretching,1.0,1
motion impossible in right wrist,numb fingers,1.0,1
motion impossible in right wrist,face sensitive,1.0,1
motion impossible in right wrist,intolerable pain in right wrist,1.0,1
motion impossible in right wrist,swollen foot joints after walking,1.0,1
motion impossible in right wrist,tender finger joints,1.0,1
motion impossible in right wrist,throbbing in right hypochondrium sensitive to pressure,1.0,1
motion impossible in right wrist,repulsive food,1.0,1
motion impossible in right wrist,excruciating pain in wrist joints worse at night,1.0,1
motion impossible in right wrist,spasmodic bowel action,1.0,1
motion impossible in right wrist,swollen right wrist,1.0,1
motion impossible in right wrist,beating in right hypochondrium sensitive to pressure,1.0,1
motion impossible in right wrist,discolored fingers,1.0,1
motion impossible in right wrist,tearing pain in face from decayed tooth to temples,1.0,1
motion impossible in right wrist,throbbing pain in kidney region,1.0,1
motion impossible in right wrist,slightest pressure near little finger causes cries,1.0,1
motion impossible in right wrist,weakness after weather change,1.0,1
motion impossible in right wrist,rheumatism from suppressed sweat,1.0,1
motion impossible in right wrist,rheumatic pains of small joints especially hands,1.0,1
motion impossible in right wrist,excruciating pain in finger joints worse at night,1.0,1
motion impossible in right wrist,thighs tremble when raised,1.0,1
motion impossible in right wrist,warm sweat especially on side lain on,1.0,1
motion impossible in right wrist,pulling pain in face from decayed tooth to temples,1.0,1
motion impossible in right wrist,painful liver pressure,1.0,1
motion impossible in right wrist,numbness of hands,1.0,1
motion impossible in right wrist,reeling as if drunk,1.0,1
motion impossible in right wrist,brick dust in urine,1.0,1
motion impossible in right wrist,chronic joint enlargement,1.0,1
motion impossible in right wrist,affinity for small joints of feet,1.0,1
motion impossible in right wrist,tearing epigastric pain with vomiting,1.0,1
motion impossible in right wrist,bruised pain in sacrum worse lying on side,1.0,1
motion impossible in right wrist,sour vomiting,1.0,1
motion impossible in right wrist,giddiness,1.0,1
motion impossible in right wrist,warm sweat on head,1.0,1
motion impossible in right wrist,weary knees,1.0,1
motion impossible in right wrist,pulse 120,1.0,1
beating in right hypochondrium sensitive to pressure,joint swelling after fatigue,1.0,1
beating in right hypochondrium sensitive to pressure,tender wrist joints,1.0,1
beating in right hypochondrium sensitive to pressure,tingling of limbs,1.0,1
beating in right hypochondrium sensitive to pressure,swollen small joints,1.0,1
beating in right hypochondrium sensitive to pressure,resembles caulophyllum but affects men more,1.0,1
beating in right hypochondrium sensitive to pressure,chronic joint stiffness with exacerbations,1.0,1
beating in right hypochondrium sensitive to pressure,affinity for small joints of hands,1.0,1
beating in right hypochondrium sensitive to pressure,throbbing in liver,1.0,1
beating in right hypochondrium sensitive to pressure,beating in liver,1.0,1
beating in right hypochondrium sensitive to pressure,boring pains better from stretching,1.0,1
beating in right hypochondrium sensitive to pressure,numb fingers,1.0,1
beating in right hypochondrium sensitive to pressure,face sensitive,1.0,1
beating in right hypochondrium sensitive to pressure,intolerable pain in right wrist,1.0,1
beating in right hypochondrium sensitive to pressure,swollen foot joints after walking,1.0,1
beating in right hypochondrium sensitive to pressure,tender finger joints,1.0,1
beating in right hypochondrium sensitive to pressure,throbbing in right hypochondrium sensitive to pressure,1.0,1
beating in right hypochondrium sensitive to pressure,repulsive food,1.0,1
beating in right hypochondrium sensitive to pressure,excruciating pain in wrist joints worse at night,1.0,1
beating in right hypochondrium sensitive to pressure,spasmodic bowel action,1.0,1
beating in right hypochondrium sensitive to pressure,swollen right wrist,1.0,1
beating in right hypochondrium sensitive to pressure,discolored fingers,1.0,1
beating in right hypochondrium sensitive to pressure,tearing pain in face from decayed tooth to temples,1.0,1
beating in right hypochondrium sensitive to pressure,throbbing pain in kidney region,1.0,1
beating in right hypochondrium sensitive to pressure,slightest pressure near little finger causes cries,1.0,1
beating in right hypochondrium sensitive to pressure,weakness after weather change,1.0,1
beating in right hypochondrium sensitive to pressure,rheumatism from suppressed sweat,1.0,1
beating in right hypochondrium sensitive to pressure,rheumatic pains of small joints especially hands,1.0,1
beating in right hypochondrium sensitive to pressure,excruciating pain in finger joints worse at night,1.0,1
beating in right hypochondrium sensitive to pressure,thighs tremble when raised,1.0,1
beating in right hypochondrium sensitive to pressure,warm sweat especially on side lain on,1.0,1
beating in right hypochondrium sensitive to pressure,pulling pain in face from decayed tooth to temples,1.0,1
beating in right hypochondrium sensitive to pressure,painful liver pressure,1.0,1
beating in right hypochondrium sensitive to pressure,numbness of hands,1.0,1
beating in right hypochondrium sensitive to pressure,reeling as if drunk,1.0,1
beating in right hypochondrium sensitive to pressure,brick dust in urine,1.0,1
beating in right hypochondrium sensitive to pressure,chronic joint enlargement,1.0,1
beating in right hypochondrium sensitive to pressure,affinity for small joints of feet,1.0,1
beating in right hypochondrium sensitive to pressure,tearing epigastric pain with vomiting,1.0,1
beating in right hypochondrium sensitive to pressure,bruised pain in sacrum worse lying on side,1.0,1
beating in right hypochondrium sensitive to pressure,sour vomiting,1.0,1
beating in right hypochondrium sensitive to pressure,giddiness,1.0,1
