### Cluster 4 — Symptoms (14)
Symptom,Frequency
restlessness and tension in thighs,1
paralytic drawing and tearing in limbs,1
must move for relief,1
as from an electric shock,1
tearing pains in shoulders arms wrists and hands,1
stitches in heart taking away breath,1
rheumatic pain worse from motion,1
rheumatic pain in shoulder joint extending down to hand,1
palpitation of heart with cardiac pain going off with motion,1
bruised pain above and in small of back and both hips,1
stitches tearing and burning in small of back,1
contractive spasmodic pain in small of back,1
twitching tearing in hips,1
jerking from heel through whole body,1

### Top Remedies
Remedy,Symptoms_Covered
magnesia muriatica,14

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
stitches tearing and burning in small of back,restlessness and tension in thighs,1.0,1
stitches tearing and burning in small of back,paralytic drawing and tearing in limbs,1.0,1
stitches tearing and burning in small of back,must move for relief,1.0,1
stitches tearing and burning in small of back,as from an electric shock,1.0,1
stitches tearing and burning in small of back,tearing pains in shoulders arms wrists and hands,1.0,1
stitches tearing and burning in small of back,stitches in heart taking away breath,1.0,1
stitches tearing and burning in small of back,rheumatic pain worse from motion,1.0,1
stitches tearing and burning in small of back,rheumatic pain in shoulder joint extending down to hand,1.0,1
stitches tearing and burning in small of back,palpitation of heart with cardiac pain going off with motion,1.0,1
stitches tearing and burning in small of back,bruised pain above and in small of back and both hips,1.0,1
stitches tearing and burning in small of back,contractive spasmodic pain in small of back,1.0,1
stitches tearing and burning in small of back,twitching tearing in hips,1.0,1
stitches tearing and burning in small of back,jerking from heel through whole body,1.0,1
tearing pains in shoulders arms wrists and hands,restlessness and tension in thighs,1.0,1
tearing pains in shoulders arms wrists and hands,paralytic drawing and tearing in limbs,1.0,1
tearing pains in shoulders arms wrists and hands,must move for relief,1.0,1
tearing pains in shoulders arms wrists and hands,as from an electric shock,1.0,1
tearing pains in shoulders arms wrists and hands,stitches in heart taking away breath,1.0,1
tearing pains in shoulders arms wrists and hands,rheumatic pain worse from motion,1.0,1
tearing pains in shoulders arms wrists and hands,rheumatic pain in shoulder joint extending down to hand,1.0,1
tearing pains in shoulders arms wrists and hands,palpitation of heart with cardiac pain going off with motion,1.0,1
tearing pains in shoulders arms wrists and hands,bruised pain above and in small of back and both hips,1.0,1
