### Cluster 52 — Symptoms (25)
Symptom,Frequency
tarsal joints swollen,1
sciatica with contractions of hamstrings in chronic cases,1
all muscles are painful and heavy,1
stiffness and arthritic swellings,1
shortening contraction of muscles,1
great toe red with tearing and stinging,1
stitches in muscles and joints of hands and fingers,1
many and varied usually constitutional,1
children late in learning to walk,1
painful stiffness of neck,1
spine oversensitive to touch or pressure,1
tension and drawing,1
periodical gout attacks,1
sprained pain in ankles and knees,1
lameness in ankle joint,1
gnawing pains in knee,1
worse while straightening up,1
chronic rheumatism of joints,1
sensation as of a sprain in shoulder joint,1
pain in back from stooping,1
painful tension in bends of limbs,1
drawing pain in right thigh extending to knee,1
housemaid’s knee,1
can move finger joints with difficulty,1
constantly moving limbs,1

### Top Remedies
Remedy,Symptoms_Covered
natrum muriaticum,25

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
sciatica with contractions of hamstrings in chronic cases,tarsal joints swollen,1.0,1
sciatica with contractions of hamstrings in chronic cases,all muscles are painful and heavy,1.0,1
sciatica with contractions of hamstrings in chronic cases,stiffness and arthritic swellings,1.0,1
sciatica with contractions of hamstrings in chronic cases,shortening contraction of muscles,1.0,1
sciatica with contractions of hamstrings in chronic cases,great toe red with tearing and stinging,1.0,1
sciatica with contractions of hamstrings in chronic cases,stitches in muscles and joints of hands and fingers,1.0,1
sciatica with contractions of hamstrings in chronic cases,many and varied usually constitutional,1.0,1
sciatica with contractions of hamstrings in chronic cases,children late in learning to walk,1.0,1
sciatica with contractions of hamstrings in chronic cases,painful stiffness of neck,1.0,1
sciatica with contractions of hamstrings in chronic cases,spine oversensitive to touch or pressure,1.0,1
sciatica with contractions of hamstrings in chronic cases,tension and drawing,1.0,1
sciatica with contractions of hamstrings in chronic cases,periodical gout attacks,1.0,1
sciatica with contractions of hamstrings in chronic cases,sprained pain in ankles and knees,1.0,1
sciatica with contractions of hamstrings in chronic cases,lameness in ankle joint,1.0,1
sciatica with contractions of hamstrings in chronic cases,gnawing pains in knee,1.0,1
sciatica with contractions of hamstrings in chronic cases,worse while straightening up,1.0,1
sciatica with contractions of hamstrings in chronic cases,chronic rheumatism of joints,1.0,1
sciatica with contractions of hamstrings in chronic cases,sensation as of a sprain in shoulder joint,1.0,1
sciatica with contractions of hamstrings in chronic cases,pain in back from stooping,1.0,1
sciatica with contractions of hamstrings in chronic cases,painful tension in bends of limbs,1.0,1
sciatica with contractions of hamstrings in chronic cases,drawing pain in right thigh extending to knee,1.0,1
sciatica with contractions of hamstrings in chronic cases,housemaid’s knee,1.0,1
sciatica with contractions of hamstrings in chronic cases,can move finger joints with difficulty,1.0,1
sciatica with contractions of hamstrings in chronic cases,constantly moving limbs,1.0,1
painful stiffness of neck,tarsal joints swollen,1.0,1
painful stiffness of neck,sciatica with contractions of hamstrings in chronic cases,1.0,1
