### Cluster 59 — Symptoms (38)
Symptom,Frequency
gouty nodosities,2
rheumatism after suppressed gonorrhea,2
tearing pain in hands,2
gouty pains in fingers,2
tearing in left side of back,1
eyes burn,1
warts,1
sticking in left side of back,1
rheumatism after gonorrhea,1
fig warts,1
chronic sclerotitis,1
sycotic conditions,1
gouty pains in big toe,1
stinging pain in left elbow,1
sweat only on uncovered parts,1
tearing pains in muscles,1
jerking pains in muscles,1
improved by motion,1
paralytic sensation in right arm,1
gouty inflammation of tendo achillis,1
eyes watery,1
cracking when stretching,1
iritis,1
chronic rheumatism of left elbow,1
episclerotitis,1
painful pressure in left side of back,1
pains in heels,1
aching in knee joints,1
sclerotitis,1
cracking in cervical vertebrae,1
aching in every joint of hands,1
gouty pains in finger joints,1
lancinating pain in small of back,1
rheumatic affections of eyes,1
worse in damp weather,1
hydrogenoid constitution,1
tearing pain in toes,1
tearing pain in soles,1

### Top Remedies
Remedy,Symptoms_Covered
thuja,38
antimonium crudum,2
agnus castus,1
sarsaparilla,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
iritis,tearing in left side of back,1.0,1
iritis,gouty nodosities,1.0,1
iritis,eyes burn,1.0,1
iritis,warts,1.0,1
iritis,sticking in left side of back,1.0,1
iritis,rheumatism after gonorrhea,1.0,1
iritis,fig warts,1.0,1
iritis,chronic sclerotitis,1.0,1
iritis,rheumatism after suppressed gonorrhea,1.0,1
iritis,tearing pain in hands,1.0,1
iritis,sycotic conditions,1.0,1
iritis,gouty pains in big toe,1.0,1
iritis,stinging pain in left elbow,1.0,1
iritis,sweat only on uncovered parts,1.0,1
iritis,tearing pains in muscles,1.0,1
iritis,jerking pains in muscles,1.0,1
iritis,improved by motion,1.0,1
iritis,paralytic sensation in right arm,1.0,1
iritis,gouty inflammation of tendo achillis,1.0,1
iritis,eyes watery,1.0,1
iritis,cracking when stretching,1.0,1
iritis,chronic rheumatism of left elbow,1.0,1
iritis,episclerotitis,1.0,1
iritis,painful pressure in left side of back,1.0,1
iritis,pains in heels,1.0,1
iritis,aching in knee joints,1.0,1
iritis,sclerotitis,1.0,1
iritis,gouty pains in fingers,1.0,1
iritis,cracking in cervical vertebrae,1.0,1
iritis,aching in every joint of hands,1.0,1
iritis,gouty pains in finger joints,1.0,1
iritis,lancinating pain in small of back,1.0,1
iritis,rheumatic affections of eyes,1.0,1
iritis,worse in damp weather,1.0,1
iritis,hydrogenoid constitution,1.0,1
iritis,tearing pain in toes,1.0,1
iritis,tearing pain in soles,1.0,1
rheumatism after suppressed gonorrhea,tearing in left side of back,0.5,1
rheumatism after suppressed gonorrhea,gouty nodosities,0.5,1
rheumatism after suppressed gonorrhea,eyes burn,0.5,1
rheumatism after suppressed gonorrhea,warts,0.5,1
rheumatism after suppressed gonorrhea,sticking in left side of back,0.5,1
rheumatism after suppressed gonorrhea,rheumatism after gonorrhea,0.5,1
rheumatism after suppressed gonorrhea,fig warts,0.5,1
rheumatism after suppressed gonorrhea,chronic sclerotitis,0.5,1
rheumatism after suppressed gonorrhea,tearing pain in hands,0.5,1
rheumatism after suppressed gonorrhea,sycotic conditions,0.5,1
rheumatism after suppressed gonorrhea,gouty pains in big toe,0.5,1
rheumatism after suppressed gonorrhea,stinging pain in left elbow,0.5,1
rheumatism after suppressed gonorrhea,sweat only on uncovered parts,0.5,1
rheumatism after suppressed gonorrhea,tearing pains in muscles,0.5,1
rheumatism after suppressed gonorrhea,jerking pains in muscles,0.5,1
rheumatism after suppressed gonorrhea,improved by motion,0.5,1
rheumatism after suppressed gonorrhea,paralytic sensation in right arm,0.5,1
rheumatism after suppressed gonorrhea,gouty inflammation of tendo achillis,0.5,1
rheumatism after suppressed gonorrhea,eyes watery,0.5,1
rheumatism after suppressed gonorrhea,cracking when stretching,0.5,1
rheumatism after suppressed gonorrhea,iritis,0.5,1
rheumatism after suppressed gonorrhea,chronic rheumatism of left elbow,0.5,1
rheumatism after suppressed gonorrhea,episclerotitis,0.5,1
rheumatism after suppressed gonorrhea,painful pressure in left side of back,0.5,1
rheumatism after suppressed gonorrhea,pains in heels,0.5,1
rheumatism after suppressed gonorrhea,aching in knee joints,0.5,1
rheumatism after suppressed gonorrhea,sclerotitis,0.5,1
rheumatism after suppressed gonorrhea,gouty pains in fingers,0.5,1
rheumatism after suppressed gonorrhea,cracking in cervical vertebrae,0.5,1
rheumatism after suppressed gonorrhea,aching in every joint of hands,0.5,1
rheumatism after suppressed gonorrhea,gouty pains in finger joints,0.5,1
rheumatism after suppressed gonorrhea,lancinating pain in small of back,0.5,1
rheumatism after suppressed gonorrhea,rheumatic affections of eyes,0.5,1
rheumatism after suppressed gonorrhea,worse in damp weather,0.5,1
rheumatism after suppressed gonorrhea,hydrogenoid constitution,0.5,1
rheumatism after suppressed gonorrhea,tearing pain in toes,0.5,1
rheumatism after suppressed gonorrhea,tearing pain in soles,0.5,1
sclerotitis,tearing in left side of back,1.0,1
sclerotitis,gouty nodosities,1.0,1
sclerotitis,eyes burn,1.0,1
sclerotitis,warts,1.0,1
sclerotitis,sticking in left side of back,1.0,1
sclerotitis,rheumatism after gonorrhea,1.0,1
sclerotitis,fig warts,1.0,1
sclerotitis,chronic sclerotitis,1.0,1
sclerotitis,rheumatism after suppressed gonorrhea,1.0,1
sclerotitis,tearing pain in hands,1.0,1
sclerotitis,sycotic conditions,1.0,1
sclerotitis,gouty pains in big toe,1.0,1
sclerotitis,stinging pain in left elbow,1.0,1
sclerotitis,sweat only on uncovered parts,1.0,1
sclerotitis,tearing pains in muscles,1.0,1
sclerotitis,jerking pains in muscles,1.0,1
sclerotitis,improved by motion,1.0,1
sclerotitis,paralytic sensation in right arm,1.0,1
sclerotitis,gouty inflammation of tendo achillis,1.0,1
sclerotitis,eyes watery,1.0,1
sclerotitis,cracking when stretching,1.0,1
sclerotitis,iritis,1.0,1
sclerotitis,chronic rheumatism of left elbow,1.0,1
sclerotitis,episclerotitis,1.0,1
sclerotitis,painful pressure in left side of back,1.0,1
sclerotitis,pains in heels,1.0,1
sclerotitis,aching in knee joints,1.0,1
sclerotitis,gouty pains in fingers,1.0,1
sclerotitis,cracking in cervical vertebrae,1.0,1
sclerotitis,aching in every joint of hands,1.0,1
sclerotitis,gouty pains in finger joints,1.0,1
sclerotitis,lancinating pain in small of back,1.0,1
sclerotitis,rheumatic affections of eyes,1.0,1
sclerotitis,worse in damp weather,1.0,1
sclerotitis,hydrogenoid constitution,1.0,1
sclerotitis,tearing pain in toes,1.0,1
sclerotitis,tearing pain in soles,1.0,1
hydrogenoid constitution,tearing in left side of back,1.0,1
hydrogenoid constitution,gouty nodosities,1.0,1
hydrogenoid constitution,eyes burn,1.0,1
hydrogenoid constitution,warts,1.0,1
hydrogenoid constitution,sticking in left side of back,1.0,1
hydrogenoid constitution,rheumatism after gonorrhea,1.0,1
hydrogenoid constitution,fig warts,1.0,1
hydrogenoid constitution,chronic sclerotitis,1.0,1
hydrogenoid constitution,rheumatism after suppressed gonorrhea,1.0,1
hydrogenoid constitution,tearing pain in hands,1.0,1
hydrogenoid constitution,sycotic conditions,1.0,1
hydrogenoid constitution,gouty pains in big toe,1.0,1
hydrogenoid constitution,stinging pain in left elbow,1.0,1
hydrogenoid constitution,sweat only on uncovered parts,1.0,1
hydrogenoid constitution,tearing pains in muscles,1.0,1
hydrogenoid constitution,jerking pains in muscles,1.0,1
hydrogenoid constitution,improved by motion,1.0,1
hydrogenoid constitution,paralytic sensation in right arm,1.0,1
hydrogenoid constitution,gouty inflammation of tendo achillis,1.0,1
hydrogenoid constitution,eyes watery,1.0,1
hydrogenoid constitution,cracking when stretching,1.0,1
hydrogenoid constitution,iritis,1.0,1
hydrogenoid constitution,chronic rheumatism of left elbow,1.0,1
hydrogenoid constitution,episclerotitis,1.0,1
hydrogenoid constitution,painful pressure in left side of back,1.0,1
hydrogenoid constitution,pains in heels,1.0,1
hydrogenoid constitution,aching in knee joints,1.0,1
hydrogenoid constitution,sclerotitis,1.0,1
hydrogenoid constitution,gouty pains in fingers,1.0,1
hydrogenoid constitution,cracking in cervical vertebrae,1.0,1
hydrogenoid constitution,aching in every joint of hands,1.0,1
hydrogenoid constitution,gouty pains in finger joints,1.0,1
hydrogenoid constitution,lancinating pain in small of back,1.0,1
hydrogenoid constitution,rheumatic affections of eyes,1.0,1
hydrogenoid constitution,worse in damp weather,1.0,1
hydrogenoid constitution,tearing pain in toes,1.0,1
hydrogenoid constitution,tearing pain in soles,1.0,1
stinging pain in left elbow,tearing in left side of back,1.0,1
stinging pain in left elbow,gouty nodosities,1.0,1
stinging pain in left elbow,eyes burn,1.0,1
stinging pain in left elbow,warts,1.0,1
stinging pain in left elbow,sticking in left side of back,1.0,1
stinging pain in left elbow,rheumatism after gonorrhea,1.0,1
stinging pain in left elbow,fig warts,1.0,1
stinging pain in left elbow,chronic sclerotitis,1.0,1
stinging pain in left elbow,rheumatism after suppressed gonorrhea,1.0,1
stinging pain in left elbow,tearing pain in hands,1.0,1
stinging pain in left elbow,sycotic conditions,1.0,1
