### Cluster 60 — Symptoms (39)
Symptom,Frequency
rheumatic paralysis of carpal joints,1
rheumatic paralysis of tarsal joints,1
has to walk constantly,1
inflammation of large joints,1
lameness after sprains of wrists,1
bones of wrist painful,1
bruised pain in lumbar vertebrae,1
bones of back of hand painful,1
lameness after sprains,1
rheumatism of right leg with ganglia of tendons in palm,1
pain as from a blow in coccyx,1
pain as from a fall in coccyx,1
wrists feel stiff as if sprained,1
pain deep seated as if in marrow of bone,1
hip bones feel bruised,1
bones of feet sore,1
pain as from a blow in back,1
hamstrings feel weak,1
rheumatism of both feet from heels to toes,1
pain as if sprained in shoulders,1
unable to bend due to pains in all joints,1
pains as from a blow in left elbow joint,1
rheumatism of right wrist,1
knees give way when going down stairs,2
pain as if sprained in nape,1
rheumatism of right leg,1
soreness through small bones of hands,1
cramp-like contractions from thighs to small of back,1
shooting pains from back down outside of thigh,1
pain as from a fall in back,1
lameness after sprains of ankles,1
sprained pain in ankles,1
ganglia on sheath of flexor tendons of fourth finger,1
rheumatic pains in back,2
constantly changing position,1
hamstrings feel shortened,1
aching over both eyes,1
cannot step heavily upon feet,1
bruised sprained pains,1

### Top Remedies
Remedy,Symptoms_Covered
ruta graveolens,39
mephitis,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
pain deep seated as if in marrow of bone,rheumatic paralysis of carpal joints,1.0,1
pain deep seated as if in marrow of bone,rheumatic paralysis of tarsal joints,1.0,1
pain deep seated as if in marrow of bone,has to walk constantly,1.0,1
pain deep seated as if in marrow of bone,inflammation of large joints,1.0,1
pain deep seated as if in marrow of bone,lameness after sprains of wrists,1.0,1
pain deep seated as if in marrow of bone,bones of wrist painful,1.0,1
pain deep seated as if in marrow of bone,bruised pain in lumbar vertebrae,1.0,1
pain deep seated as if in marrow of bone,bones of back of hand painful,1.0,1
pain deep seated as if in marrow of bone,lameness after sprains,1.0,1
pain deep seated as if in marrow of bone,rheumatism of right leg with ganglia of tendons in palm,1.0,1
pain deep seated as if in marrow of bone,pain as from a blow in coccyx,1.0,1
pain deep seated as if in marrow of bone,pain as from a fall in coccyx,1.0,1
pain deep seated as if in marrow of bone,wrists feel stiff as if sprained,1.0,1
pain deep seated as if in marrow of bone,hip bones feel bruised,1.0,1
pain deep seated as if in marrow of bone,bones of feet sore,1.0,1
pain deep seated as if in marrow of bone,pain as from a blow in back,1.0,1
pain deep seated as if in marrow of bone,hamstrings feel weak,1.0,1
pain deep seated as if in marrow of bone,rheumatism of both feet from heels to toes,1.0,1
pain deep seated as if in marrow of bone,pain as if sprained in shoulders,1.0,1
pain deep seated as if in marrow of bone,unable to bend due to pains in all joints,1.0,1
pain deep seated as if in marrow of bone,pains as from a blow in left elbow joint,1.0,1
pain deep seated as if in marrow of bone,rheumatism of right wrist,1.0,1
pain deep seated as if in marrow of bone,knees give way when going down stairs,1.0,1
pain deep seated as if in marrow of bone,pain as if sprained in nape,1.0,1
pain deep seated as if in marrow of bone,rheumatism of right leg,1.0,1
pain deep seated as if in marrow of bone,soreness through small bones of hands,1.0,1
pain deep seated as if in marrow of bone,cramp-like contractions from thighs to small of back,1.0,1
pain deep seated as if in marrow of bone,shooting pains from back down outside of thigh,1.0,1
pain deep seated as if in marrow of bone,pain as from a fall in back,1.0,1
pain deep seated as if in marrow of bone,lameness after sprains of ankles,1.0,1
pain deep seated as if in marrow of bone,sprained pain in ankles,1.0,1
pain deep seated as if in marrow of bone,ganglia on sheath of flexor tendons of fourth finger,1.0,1
pain deep seated as if in marrow of bone,rheumatic pains in back,1.0,1
pain deep seated as if in marrow of bone,constantly changing position,1.0,1
pain deep seated as if in marrow of bone,hamstrings feel shortened,1.0,1
pain deep seated as if in marrow of bone,aching over both eyes,1.0,1
pain deep seated as if in marrow of bone,cannot step heavily upon feet,1.0,1
pain deep seated as if in marrow of bone,bruised sprained pains,1.0,1
pain as from a fall in back,rheumatic paralysis of carpal joints,1.0,1
pain as from a fall in back,rheumatic paralysis of tarsal joints,1.0,1
pain as from a fall in back,has to walk constantly,1.0,1
pain as from a fall in back,inflammation of large joints,1.0,1
pain as from a fall in back,lameness after sprains of wrists,1.0,1
pain as from a fall in back,bones of wrist painful,1.0,1
pain as from a fall in back,bruised pain in lumbar vertebrae,1.0,1
pain as from a fall in back,bones of back of hand painful,1.0,1
pain as from a fall in back,lameness after sprains,1.0,1
pain as from a fall in back,rheumatism of right leg with ganglia of tendons in palm,1.0,1
pain as from a fall in back,pain as from a blow in coccyx,1.0,1
pain as from a fall in back,pain as from a fall in coccyx,1.0,1
pain as from a fall in back,wrists feel stiff as if sprained,1.0,1
pain as from a fall in back,pain deep seated as if in marrow of bone,1.0,1
pain as from a fall in back,hip bones feel bruised,1.0,1
pain as from a fall in back,bones of feet sore,1.0,1
pain as from a fall in back,pain as from a blow in back,1.0,1
pain as from a fall in back,hamstrings feel weak,1.0,1
pain as from a fall in back,rheumatism of both feet from heels to toes,1.0,1
pain as from a fall in back,pain as if sprained in shoulders,1.0,1
pain as from a fall in back,unable to bend due to pains in all joints,1.0,1
pain as from a fall in back,pains as from a blow in left elbow joint,1.0,1
pain as from a fall in back,rheumatism of right wrist,1.0,1
pain as from a fall in back,knees give way when going down stairs,1.0,1
pain as from a fall in back,pain as if sprained in nape,1.0,1
pain as from a fall in back,rheumatism of right leg,1.0,1
pain as from a fall in back,soreness through small bones of hands,1.0,1
pain as from a fall in back,cramp-like contractions from thighs to small of back,1.0,1
pain as from a fall in back,shooting pains from back down outside of thigh,1.0,1
pain as from a fall in back,lameness after sprains of ankles,1.0,1
pain as from a fall in back,sprained pain in ankles,1.0,1
pain as from a fall in back,ganglia on sheath of flexor tendons of fourth finger,1.0,1
pain as from a fall in back,rheumatic pains in back,1.0,1
pain as from a fall in back,constantly changing position,1.0,1
pain as from a fall in back,hamstrings feel shortened,1.0,1
pain as from a fall in back,aching over both eyes,1.0,1
pain as from a fall in back,cannot step heavily upon feet,1.0,1
pain as from a fall in back,bruised sprained pains,1.0,1
knees give way when going down stairs,rheumatic paralysis of carpal joints,1.0,1
knees give way when going down stairs,rheumatic paralysis of tarsal joints,1.0,1
knees give way when going down stairs,has to walk constantly,1.0,1
knees give way when going down stairs,inflammation of large joints,1.0,1
knees give way when going down stairs,lameness after sprains of wrists,1.0,1
knees give way when going down stairs,bones of wrist painful,1.0,1
knees give way when going down stairs,bruised pain in lumbar vertebrae,1.0,1
knees give way when going down stairs,bones of back of hand painful,1.0,1
knees give way when going down stairs,lameness after sprains,1.0,1
knees give way when going down stairs,rheumatism of right leg with ganglia of tendons in palm,1.0,1
knees give way when going down stairs,pain as from a blow in coccyx,1.0,1
knees give way when going down stairs,pain as from a fall in coccyx,1.0,1
knees give way when going down stairs,wrists feel stiff as if sprained,1.0,1
knees give way when going down stairs,pain deep seated as if in marrow of bone,1.0,1
knees give way when going down stairs,hip bones feel bruised,1.0,1
knees give way when going down stairs,bones of feet sore,1.0,1
knees give way when going down stairs,pain as from a blow in back,1.0,1
knees give way when going down stairs,hamstrings feel weak,1.0,1
knees give way when going down stairs,rheumatism of both feet from heels to toes,1.0,1
knees give way when going down stairs,pain as if sprained in shoulders,1.0,1
knees give way when going down stairs,unable to bend due to pains in all joints,1.0,1
knees give way when going down stairs,pains as from a blow in left elbow joint,1.0,1
knees give way when going down stairs,rheumatism of right wrist,1.0,1
knees give way when going down stairs,pain as if sprained in nape,1.0,1
knees give way when going down stairs,rheumatism of right leg,1.0,1
knees give way when going down stairs,soreness through small bones of hands,1.0,1
knees give way when going down stairs,cramp-like contractions from thighs to small of back,1.0,1
knees give way when going down stairs,shooting pains from back down outside of thigh,1.0,1
knees give way when going down stairs,pain as from a fall in back,1.0,1
knees give way when going down stairs,lameness after sprains of ankles,1.0,1
knees give way when going down stairs,sprained pain in ankles,1.0,1
knees give way when going down stairs,ganglia on sheath of flexor tendons of fourth finger,1.0,1
knees give way when going down stairs,rheumatic pains in back,1.0,1
knees give way when going down stairs,constantly changing position,1.0,1
knees give way when going down stairs,hamstrings feel shortened,1.0,1
knees give way when going down stairs,aching over both eyes,1.0,1
knees give way when going down stairs,cannot step heavily upon feet,1.0,1
knees give way when going down stairs,bruised sprained pains,1.0,1
pain as if sprained in nape,rheumatic paralysis of carpal joints,1.0,1
pain as if sprained in nape,rheumatic paralysis of tarsal joints,1.0,1
pain as if sprained in nape,has to walk constantly,1.0,1
pain as if sprained in nape,inflammation of large joints,1.0,1
pain as if sprained in nape,lameness after sprains of wrists,1.0,1
pain as if sprained in nape,bones of wrist painful,1.0,1
pain as if sprained in nape,bruised pain in lumbar vertebrae,1.0,1
pain as if sprained in nape,bones of back of hand painful,1.0,1
pain as if sprained in nape,lameness after sprains,1.0,1
pain as if sprained in nape,rheumatism of right leg with ganglia of tendons in palm,1.0,1
pain as if sprained in nape,pain as from a blow in coccyx,1.0,1
pain as if sprained in nape,pain as from a fall in coccyx,1.0,1
pain as if sprained in nape,wrists feel stiff as if sprained,1.0,1
pain as if sprained in nape,pain deep seated as if in marrow of bone,1.0,1
pain as if sprained in nape,hip bones feel bruised,1.0,1
pain as if sprained in nape,bones of feet sore,1.0,1
pain as if sprained in nape,pain as from a blow in back,1.0,1
pain as if sprained in nape,hamstrings feel weak,1.0,1
pain as if sprained in nape,rheumatism of both feet from heels to toes,1.0,1
pain as if sprained in nape,pain as if sprained in shoulders,1.0,1
