### Cluster 66 — Symptoms (18)
Symptom,Frequency
stinging pain in right arm,1
burning pains,1
urticaria,1
stinging skin,1
burning pain in right arm,1
stinging pains,1
burning pain in knees,1
gout in heels,1
acute gout,1
stinging,1
gout in toes,1
rheumatism of right deltoid,1
rheumatism with urticaria,1
itching,1
burning skin,1
rheumatism alternating with urticaria,1
gout of wrist,1
gout in ankles,1

### Top Remedies
Remedy,Symptoms_Covered
urtica urens,18

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
stinging pains,stinging pain in right arm,1.0,1
stinging pains,burning pains,1.0,1
stinging pains,urticaria,1.0,1
stinging pains,stinging skin,1.0,1
stinging pains,burning pain in right arm,1.0,1
stinging pains,burning pain in knees,1.0,1
stinging pains,gout in heels,1.0,1
stinging pains,acute gout,1.0,1
stinging pains,stinging,1.0,1
stinging pains,gout in toes,1.0,1
stinging pains,rheumatism of right deltoid,1.0,1
stinging pains,rheumatism with urticaria,1.0,1
stinging pains,itching,1.0,1
stinging pains,burning skin,1.0,1
stinging pains,rheumatism alternating with urticaria,1.0,1
stinging pains,gout of wrist,1.0,1
stinging pains,gout in ankles,1.0,1
burning pain in knees,stinging pain in right arm,1.0,1
burning pain in knees,burning pains,1.0,1
burning pain in knees,urticaria,1.0,1
burning pain in knees,stinging skin,1.0,1
burning pain in knees,burning pain in right arm,1.0,1
burning pain in knees,stinging pains,1.0,1
burning pain in knees,gout in heels,1.0,1
burning pain in knees,acute gout,1.0,1
burning pain in knees,stinging,1.0,1
burning pain in knees,gout in toes,1.0,1
burning pain in knees,rheumatism of right deltoid,1.0,1
burning pain in knees,rheumatism with urticaria,1.0,1
burning pain in knees,itching,1.0,1
burning pain in knees,burning skin,1.0,1
burning pain in knees,rheumatism alternating with urticaria,1.0,1
burning pain in knees,gout of wrist,1.0,1
burning pain in knees,gout in ankles,1.0,1
burning pain in right arm,stinging pain in right arm,1.0,1
burning pain in right arm,burning pains,1.0,1
burning pain in right arm,urticaria,1.0,1
burning pain in right arm,stinging skin,1.0,1
burning pain in right arm,stinging pains,1.0,1
burning pain in right arm,burning pain in knees,1.0,1
burning pain in right arm,gout in heels,1.0,1
burning pain in right arm,acute gout,1.0,1
burning pain in right arm,stinging,1.0,1
burning pain in right arm,gout in toes,1.0,1
burning pain in right arm,rheumatism of right deltoid,1.0,1
burning pain in right arm,rheumatism with urticaria,1.0,1
burning pain in right arm,itching,1.0,1
burning pain in right arm,burning skin,1.0,1
burning pain in right arm,rheumatism alternating with urticaria,1.0,1
burning pain in right arm,gout of wrist,1.0,1
burning pain in right arm,gout in ankles,1.0,1
stinging,stinging pain in right arm,1.0,1
stinging,burning pains,1.0,1
stinging,urticaria,1.0,1
stinging,stinging skin,1.0,1
stinging,burning pain in right arm,1.0,1
stinging,stinging pains,1.0,1
stinging,burning pain in knees,1.0,1
stinging,gout in heels,1.0,1
stinging,acute gout,1.0,1
stinging,gout in toes,1.0,1
stinging,rheumatism of right deltoid,1.0,1
stinging,rheumatism with urticaria,1.0,1
stinging,itching,1.0,1
stinging,burning skin,1.0,1
stinging,rheumatism alternating with urticaria,1.0,1
stinging,gout of wrist,1.0,1
stinging,gout in ankles,1.0,1
gout in toes,stinging pain in right arm,1.0,1
gout in toes,burning pains,1.0,1
gout in toes,urticaria,1.0,1
gout in toes,stinging skin,1.0,1
gout in toes,burning pain in right arm,1.0,1
gout in toes,stinging pains,1.0,1
gout in toes,burning pain in knees,1.0,1
gout in toes,gout in heels,1.0,1
gout in toes,acute gout,1.0,1
gout in toes,stinging,1.0,1
gout in toes,rheumatism of right deltoid,1.0,1
gout in toes,rheumatism with urticaria,1.0,1
gout in toes,itching,1.0,1
gout in toes,burning skin,1.0,1
gout in toes,rheumatism alternating with urticaria,1.0,1
gout in toes,gout of wrist,1.0,1
gout in toes,gout in ankles,1.0,1
stinging pain in right arm,burning pains,1.0,1
stinging pain in right arm,urticaria,1.0,1
stinging pain in right arm,stinging skin,1.0,1
stinging pain in right arm,burning pain in right arm,1.0,1
stinging pain in right arm,stinging pains,1.0,1
stinging pain in right arm,burning pain in knees,1.0,1
stinging pain in right arm,gout in heels,1.0,1
