### Cluster 67 — Symptoms (48)
Symptom,Frequency
worse walking,3
dragging sensation from behind forward,1
much heaviness,1
sycotic excrescences with burning pain,1
redness in great toe in gout,1
obliging to bend back inward,1
fig warts with burning,1
pain in thighs when walking,1
improved by bending backward,1
much swelling,2
wandering burning affecting one joint after another,1
worse hanging hand down,1
rheumatic gonorrhoea,1
very sensitive to motion,1
drawing pains in small of back,1
paralytic pain in small of back,1
indescribable uneasiness in lumbar region,1
stitches in great toe in gout,1
arthritic tearing with stiffness of wrist joints,1
painful drawing in joints of toes,1
tearing pain with pressure in metacarpal bones of both feet,1
marked weakness,2
leucorrhea milky,1
very red shining swelling of parts,1
great heaviness of part,1
pain as if sprained in right shoulder joint,1
excessive pain,1
arthritic tearing with swelling of wrist joints,1
arthritic complaints,1
sharp stitches in heels from within outward,1
bright shining red,1
tearing sting in joints,1
swelling in great toe in gout,1
paralytic tearing along right upper arm to hand,1
aching pain worse on motion,1
arthritic stinging with stiffness of wrist joints,1
drawing pains extending to pubic region,1
marked weariness in lumbar region,1
nervousness so great that music seems to go through bones,1
fig warts with intense itching,1
pressing pain in both upper arms near elbow joint,1
constant pain in small of back,1
aching pain worse on touch,1
aching pain in right radius,1
rheumatism of metatarso-phalangeal joint of great toe,1
arthritic stinging with swelling of wrist joints,1
leucorrhea copious,1
leucorrhea causing itching,1

### Top Remedies
Remedy,Symptoms_Covered
sabina,48
trillium,1
magnesia sulphurica,1
staphisagria,1
natrum carbonicum,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
worse walking,dragging sensation from behind forward,0.3333,1
worse walking,much heaviness,0.3333,1
worse walking,sycotic excrescences with burning pain,0.3333,1
worse walking,redness in great toe in gout,0.3333,1
worse walking,obliging to bend back inward,0.3333,1
worse walking,fig warts with burning,0.3333,1
worse walking,pain in thighs when walking,0.3333,1
worse walking,improved by bending backward,0.3333,1
worse walking,much swelling,0.3333,1
worse walking,wandering burning affecting one joint after another,0.3333,1
worse walking,worse hanging hand down,0.3333,1
worse walking,rheumatic gonorrhoea,0.3333,1
worse walking,very sensitive to motion,0.3333,1
worse walking,drawing pains in small of back,0.3333,1
worse walking,paralytic pain in small of back,0.3333,1
worse walking,indescribable uneasiness in lumbar region,0.3333,1
worse walking,stitches in great toe in gout,0.3333,1
worse walking,arthritic tearing with stiffness of wrist joints,0.3333,1
worse walking,painful drawing in joints of toes,0.3333,1
worse walking,tearing pain with pressure in metacarpal bones of both feet,0.3333,1
worse walking,marked weakness,0.3333,1
worse walking,leucorrhea milky,0.3333,1
worse walking,very red shining swelling of parts,0.3333,1
worse walking,great heaviness of part,0.3333,1
worse walking,pain as if sprained in right shoulder joint,0.3333,1
worse walking,excessive pain,0.3333,1
worse walking,arthritic tearing with swelling of wrist joints,0.3333,1
worse walking,arthritic complaints,0.3333,1
worse walking,sharp stitches in heels from within outward,0.3333,1
worse walking,bright shining red,0.3333,1
worse walking,tearing sting in joints,0.3333,1
worse walking,swelling in great toe in gout,0.3333,1
worse walking,paralytic tearing along right upper arm to hand,0.3333,1
worse walking,aching pain worse on motion,0.3333,1
worse walking,arthritic stinging with stiffness of wrist joints,0.3333,1
worse walking,drawing pains extending to pubic region,0.3333,1
worse walking,marked weariness in lumbar region,0.3333,1
worse walking,nervousness so great that music seems to go through bones,0.3333,1
worse walking,fig warts with intense itching,0.3333,1
worse walking,pressing pain in both upper arms near elbow joint,0.3333,1
worse walking,constant pain in small of back,0.3333,1
worse walking,aching pain worse on touch,0.3333,1
worse walking,aching pain in right radius,0.3333,1
worse walking,rheumatism of metatarso-phalangeal joint of great toe,0.3333,1
worse walking,arthritic stinging with swelling of wrist joints,0.3333,1
worse walking,leucorrhea copious,0.3333,1
worse walking,leucorrhea causing itching,0.3333,1
dragging sensation from behind forward,much heaviness,1.0,1
dragging sensation from behind forward,sycotic excrescences with burning pain,1.0,1
