### Cluster 6 — Symptoms (14)
Symptom,Frequency
improved at rest,1
improved from rest,1
worse evening,2
soreness in bends of joints,1
rheumatic conditions following pneumonia,1
rheumatic conditions following acute bronchitis,1
worse exercising,1
rheumatic pain in muscles on side of neck,1
dull rheumatic pain,1
worse during motion,1
worse morning,1
worse from exercise or motion,1
convulsive twitching of limbs,1
convulsive motion of limbs,1

### Top Remedies
Remedy,Symptoms_Covered
squilla,14
marum verum,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
convulsive twitching of limbs,improved at rest,1.0,1
convulsive twitching of limbs,improved from rest,1.0,1
convulsive twitching of limbs,worse evening,1.0,1
convulsive twitching of limbs,soreness in bends of joints,1.0,1
convulsive twitching of limbs,rheumatic conditions following pneumonia,1.0,1
convulsive twitching of limbs,rheumatic conditions following acute bronchitis,1.0,1
convulsive twitching of limbs,worse exercising,1.0,1
convulsive twitching of limbs,rheumatic pain in muscles on side of neck,1.0,1
convulsive twitching of limbs,dull rheumatic pain,1.0,1
convulsive twitching of limbs,worse during motion,1.0,1
convulsive twitching of limbs,worse morning,1.0,1
convulsive twitching of limbs,worse from exercise or motion,1.0,1
convulsive twitching of limbs,convulsive motion of limbs,1.0,1
rheumatic pain in muscles on side of neck,improved at rest,1.0,1
rheumatic pain in muscles on side of neck,improved from rest,1.0,1
rheumatic pain in muscles on side of neck,worse evening,1.0,1
rheumatic pain in muscles on side of neck,soreness in bends of joints,1.0,1
rheumatic pain in muscles on side of neck,rheumatic conditions following pneumonia,1.0,1
rheumatic pain in muscles on side of neck,rheumatic conditions following acute bronchitis,1.0,1
rheumatic pain in muscles on side of neck,worse exercising,1.0,1
rheumatic pain in muscles on side of neck,dull rheumatic pain,1.0,1
rheumatic pain in muscles on side of neck,worse during motion,1.0,1
rheumatic pain in muscles on side of neck,worse morning,1.0,1
rheumatic pain in muscles on side of neck,worse from exercise or motion,1.0,1
rheumatic pain in muscles on side of neck,convulsive twitching of limbs,1.0,1
rheumatic pain in muscles on side of neck,convulsive motion of limbs,1.0,1
soreness in bends of joints,improved at rest,1.0,1
soreness in bends of joints,improved from rest,1.0,1
soreness in bends of joints,worse evening,1.0,1
soreness in bends of joints,rheumatic conditions following pneumonia,1.0,1
soreness in bends of joints,rheumatic conditions following acute bronchitis,1.0,1
soreness in bends of joints,worse exercising,1.0,1
soreness in bends of joints,rheumatic pain in muscles on side of neck,1.0,1
soreness in bends of joints,dull rheumatic pain,1.0,1
soreness in bends of joints,worse during motion,1.0,1
soreness in bends of joints,worse morning,1.0,1
soreness in bends of joints,worse from exercise or motion,1.0,1
soreness in bends of joints,convulsive twitching of limbs,1.0,1
soreness in bends of joints,convulsive motion of limbs,1.0,1
improved at rest,improved from rest,1.0,1
improved at rest,worse evening,1.0,1
improved at rest,soreness in bends of joints,1.0,1
improved at rest,rheumatic conditions following pneumonia,1.0,1
improved at rest,rheumatic conditions following acute bronchitis,1.0,1
improved at rest,worse exercising,1.0,1
improved at rest,rheumatic pain in muscles on side of neck,1.0,1
improved at rest,dull rheumatic pain,1.0,1
improved at rest,worse during motion,1.0,1
improved at rest,worse morning,1.0,1
improved at rest,worse from exercise or motion,1.0,1
improved at rest,convulsive twitching of limbs,1.0,1
improved at rest,convulsive motion of limbs,1.0,1
convulsive motion of limbs,improved at rest,1.0,1
convulsive motion of limbs,improved from rest,1.0,1
convulsive motion of limbs,worse evening,1.0,1
convulsive motion of limbs,soreness in bends of joints,1.0,1
convulsive motion of limbs,rheumatic conditions following pneumonia,1.0,1
convulsive motion of limbs,rheumatic conditions following acute bronchitis,1.0,1
convulsive motion of limbs,worse exercising,1.0,1
convulsive motion of limbs,rheumatic pain in muscles on side of neck,1.0,1
convulsive motion of limbs,dull rheumatic pain,1.0,1
convulsive motion of limbs,worse during motion,1.0,1
convulsive motion of limbs,worse morning,1.0,1
convulsive motion of limbs,worse from exercise or motion,1.0,1
convulsive motion of limbs,convulsive twitching of limbs,1.0,1
worse exercising,improved at rest,1.0,1
worse exercising,improved from rest,1.0,1
worse exercising,worse evening,1.0,1
worse exercising,soreness in bends of joints,1.0,1
worse exercising,rheumatic conditions following pneumonia,1.0,1
worse exercising,rheumatic conditions following acute bronchitis,1.0,1
worse exercising,rheumatic pain in muscles on side of neck,1.0,1
worse exercising,dull rheumatic pain,1.0,1
worse exercising,worse during motion,1.0,1
worse exercising,worse morning,1.0,1
worse exercising,worse from exercise or motion,1.0,1
worse exercising,convulsive twitching of limbs,1.0,1
worse exercising,convulsive motion of limbs,1.0,1
worse during motion,improved at rest,1.0,1
worse during motion,improved from rest,1.0,1
worse during motion,worse evening,1.0,1
worse during motion,soreness in bends of joints,1.0,1
worse during motion,rheumatic conditions following pneumonia,1.0,1
worse during motion,rheumatic conditions following acute bronchitis,1.0,1
worse during motion,worse exercising,1.0,1
worse during motion,rheumatic pain in muscles on side of neck,1.0,1
worse during motion,dull rheumatic pain,1.0,1
worse during motion,worse morning,1.0,1
worse during motion,worse from exercise or motion,1.0,1
