### Cluster 71 — Symptoms (34)
Symptom,Frequency
tearing pains in knees,2
neuralgic pains in arms,2
rheumatic conditions,1
burning,2
burning in urethra,2
urinary symptoms,1
amblyopia,1
urine scanty,1
frequent urination,2
tearing pains in elbows,1
marked burning,1
pain in urethra,1
bruised sensation in legs,3
neuralgic pains in joints,1
violent pain in region of kidneys,1
urine bloody,1
gouty pains,3
bruised sensation in arms,2
better from warmth,2
bruised sensation in joints,3
tearing pains in hips,1
swelling in gouty states,1
backache,1
burning sensation in kidneys,1
pain in kidneys,1
tearing pains in legs,1
tearing pains in shoulders,1
neuralgic pains in legs,1
pressure in kidneys,1
urine with odor of violets,1
gouty complaints,1
stiffness in joints,1
pain in joints,1
rheumatic complaints,1

### Top Remedies
Remedy,Symptoms_Covered
terebinthina,30
sulphuricum acidum,9
urtica urens,2
cannabis sativa,2
manganum,1
palladium,1
cicuta virosa,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
bruised sensation in legs,tearing pains in knees,0.3333,1
bruised sensation in legs,neuralgic pains in arms,0.3333,1
bruised sensation in legs,rheumatic conditions,0.3333,1
bruised sensation in legs,burning,0.3333,1
bruised sensation in legs,burning in urethra,0.3333,1
bruised sensation in legs,urinary symptoms,0.3333,1
bruised sensation in legs,amblyopia,0.3333,1
bruised sensation in legs,urine scanty,0.3333,1
bruised sensation in legs,frequent urination,0.3333,1
bruised sensation in legs,gouty complaints,0.3333,1
bruised sensation in legs,tearing pains in elbows,0.3333,1
bruised sensation in legs,marked burning,0.3333,1
bruised sensation in legs,pain in urethra,0.3333,1
bruised sensation in legs,neuralgic pains in joints,0.3333,1
bruised sensation in legs,violent pain in region of kidneys,0.3333,1
bruised sensation in legs,stiffness in joints,0.3333,1
bruised sensation in legs,urine bloody,0.3333,1
bruised sensation in legs,gouty pains,0.6667,2
bruised sensation in legs,bruised sensation in arms,0.6667,2
bruised sensation in legs,better from warmth,0.6667,2
bruised sensation in legs,bruised sensation in joints,0.6667,2
bruised sensation in legs,pain in joints,0.3333,1
bruised sensation in legs,tearing pains in hips,0.3333,1
bruised sensation in legs,swelling in gouty states,0.3333,1
bruised sensation in legs,backache,0.3333,1
bruised sensation in legs,burning sensation in kidneys,0.3333,1
bruised sensation in legs,pain in kidneys,0.3333,1
bruised sensation in legs,tearing pains in legs,0.3333,1
bruised sensation in legs,tearing pains in shoulders,0.3333,1
bruised sensation in legs,neuralgic pains in legs,0.3333,1
bruised sensation in legs,pressure in kidneys,0.3333,1
bruised sensation in legs,urine with odor of violets,0.3333,1
bruised sensation in legs,rheumatic complaints,0.3333,1
pain in urethra,tearing pains in knees,1.0,1
pain in urethra,neuralgic pains in arms,1.0,1
pain in urethra,rheumatic conditions,1.0,1
pain in urethra,burning,1.0,1
pain in urethra,burning in urethra,1.0,1
pain in urethra,urinary symptoms,1.0,1
pain in urethra,amblyopia,1.0,1
pain in urethra,urine scanty,1.0,1
pain in urethra,frequent urination,1.0,1
pain in urethra,tearing pains in elbows,1.0,1
pain in urethra,marked burning,1.0,1
pain in urethra,bruised sensation in legs,1.0,1
pain in urethra,neuralgic pains in joints,1.0,1
pain in urethra,violent pain in region of kidneys,1.0,1
