### Cluster 75 — Symptoms (38)
Symptom,Frequency
sexual debility,1
gouty swelling of finger joints,1
debauched patients,1
hard pressure in right upper arm worse motion,1
tearing in toe joints worse walking,1
inflammatory rheumatic swelling,1
prematurely old,1
rending in joints especially small joints,1
weak sexual power,1
hard pressure in right axilla worse touch,1
fine lancinations in right hip joint,1
cracking noise in vertebrae,1
gouty swelling of small joints,1
tearing in foot joints worse walking,1
absent-mindedness,1
stitches left side near sacrum,1
indifference,1
rending in toe joints worse walking,1
swollen thighs toward evening,1
acute sharp stitches in coccyx,1
rheumatism in feet,2
comprehension difficulty,1
hard pressure in right upper arm worse touch,1
rheumatism of hands,1
tearing in joints especially small joints,1
sticking in great toe,1
tired thighs toward evening,1
tearing pain in finger joints,1
prematurely old patients,1
fine lancinations in soles,1
sticking in legs,1
impatience,1
pain in left hip better rest,1
hard pressure in right axilla worse motion,1
memory loss,1
rending in foot joints worse walking,1
prostatic fluid discharge,1
stitches left side near coccyx,1

### Top Remedies
Remedy,Symptoms_Covered
agnus castus,38
manganum,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
tearing in toe joints worse walking,sexual debility,1.0,1
tearing in toe joints worse walking,gouty swelling of finger joints,1.0,1
tearing in toe joints worse walking,debauched patients,1.0,1
tearing in toe joints worse walking,hard pressure in right upper arm worse motion,1.0,1
tearing in toe joints worse walking,inflammatory rheumatic swelling,1.0,1
tearing in toe joints worse walking,prematurely old,1.0,1
tearing in toe joints worse walking,rending in joints especially small joints,1.0,1
tearing in toe joints worse walking,weak sexual power,1.0,1
tearing in toe joints worse walking,hard pressure in right axilla worse touch,1.0,1
tearing in toe joints worse walking,fine lancinations in right hip joint,1.0,1
tearing in toe joints worse walking,cracking noise in vertebrae,1.0,1
tearing in toe joints worse walking,gouty swelling of small joints,1.0,1
tearing in toe joints worse walking,tearing in foot joints worse walking,1.0,1
tearing in toe joints worse walking,absent-mindedness,1.0,1
tearing in toe joints worse walking,stitches left side near sacrum,1.0,1
tearing in toe joints worse walking,indifference,1.0,1
tearing in toe joints worse walking,rending in toe joints worse walking,1.0,1
tearing in toe joints worse walking,swollen thighs toward evening,1.0,1
tearing in toe joints worse walking,acute sharp stitches in coccyx,1.0,1
tearing in toe joints worse walking,rheumatism in feet,1.0,1
tearing in toe joints worse walking,comprehension difficulty,1.0,1
tearing in toe joints worse walking,hard pressure in right upper arm worse touch,1.0,1
tearing in toe joints worse walking,rheumatism of hands,1.0,1
tearing in toe joints worse walking,tearing in joints especially small joints,1.0,1
tearing in toe joints worse walking,sticking in great toe,1.0,1
tearing in toe joints worse walking,tired thighs toward evening,1.0,1
tearing in toe joints worse walking,tearing pain in finger joints,1.0,1
tearing in toe joints worse walking,prematurely old patients,1.0,1
tearing in toe joints worse walking,fine lancinations in soles,1.0,1
tearing in toe joints worse walking,sticking in legs,1.0,1
tearing in toe joints worse walking,impatience,1.0,1
tearing in toe joints worse walking,pain in left hip better rest,1.0,1
tearing in toe joints worse walking,hard pressure in right axilla worse motion,1.0,1
tearing in toe joints worse walking,memory loss,1.0,1
tearing in toe joints worse walking,rending in foot joints worse walking,1.0,1
tearing in toe joints worse walking,prostatic fluid discharge,1.0,1
tearing in toe joints worse walking,stitches left side near coccyx,1.0,1
rending in foot joints worse walking,sexual debility,1.0,1
rending in foot joints worse walking,gouty swelling of finger joints,1.0,1
rending in foot joints worse walking,debauched patients,1.0,1
rending in foot joints worse walking,hard pressure in right upper arm worse motion,1.0,1
rending in foot joints worse walking,tearing in toe joints worse walking,1.0,1
rending in foot joints worse walking,inflammatory rheumatic swelling,1.0,1
rending in foot joints worse walking,prematurely old,1.0,1
rending in foot joints worse walking,rending in joints especially small joints,1.0,1
rending in foot joints worse walking,weak sexual power,1.0,1
rending in foot joints worse walking,hard pressure in right axilla worse touch,1.0,1
rending in foot joints worse walking,fine lancinations in right hip joint,1.0,1
rending in foot joints worse walking,cracking noise in vertebrae,1.0,1
rending in foot joints worse walking,gouty swelling of small joints,1.0,1
rending in foot joints worse walking,tearing in foot joints worse walking,1.0,1
rending in foot joints worse walking,absent-mindedness,1.0,1
rending in foot joints worse walking,stitches left side near sacrum,1.0,1
rending in foot joints worse walking,indifference,1.0,1
rending in foot joints worse walking,rending in toe joints worse walking,1.0,1
rending in foot joints worse walking,swollen thighs toward evening,1.0,1
rending in foot joints worse walking,acute sharp stitches in coccyx,1.0,1
rending in foot joints worse walking,rheumatism in feet,1.0,1
rending in foot joints worse walking,comprehension difficulty,1.0,1
rending in foot joints worse walking,hard pressure in right upper arm worse touch,1.0,1
rending in foot joints worse walking,rheumatism of hands,1.0,1
rending in foot joints worse walking,tearing in joints especially small joints,1.0,1
rending in foot joints worse walking,sticking in great toe,1.0,1
rending in foot joints worse walking,tired thighs toward evening,1.0,1
rending in foot joints worse walking,tearing pain in finger joints,1.0,1
rending in foot joints worse walking,prematurely old patients,1.0,1
rending in foot joints worse walking,fine lancinations in soles,1.0,1
rending in foot joints worse walking,sticking in legs,1.0,1
rending in foot joints worse walking,impatience,1.0,1
rending in foot joints worse walking,pain in left hip better rest,1.0,1
rending in foot joints worse walking,hard pressure in right axilla worse motion,1.0,1
rending in foot joints worse walking,memory loss,1.0,1
rending in foot joints worse walking,prostatic fluid discharge,1.0,1
