### Cluster 7 — Symptoms (13)
Symptom,Frequency
pain as if a nail had grown into flesh of right great toe,1
ingrowing toe nails,1
tingling and feeling as if the part were going to sleep when sitting,1
better morning,1
rheumatic lameness of upper arm as far as elbow,1
over-sensitive and remedies do not act well,1
in old people or children,1
emaciated children,1
sudden cutting pain in muscles of forearm,1
rheumatic pains mostly in bones and joints,2
drawing and tearing pain in whole arm,1
seat worms,1
polypi of mucous surfaces,1

### Top Remedies
Remedy,Symptoms_Covered
marum verum,13

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
tingling and feeling as if the part were going to sleep when sitting,pain as if a nail had grown into flesh of right great toe,1.0,1
tingling and feeling as if the part were going to sleep when sitting,ingrowing toe nails,1.0,1
tingling and feeling as if the part were going to sleep when sitting,better morning,1.0,1
tingling and feeling as if the part were going to sleep when sitting,rheumatic lameness of upper arm as far as elbow,1.0,1
tingling and feeling as if the part were going to sleep when sitting,over-sensitive and remedies do not act well,1.0,1
tingling and feeling as if the part were going to sleep when sitting,in old people or children,1.0,1
tingling and feeling as if the part were going to sleep when sitting,emaciated children,1.0,1
tingling and feeling as if the part were going to sleep when sitting,sudden cutting pain in muscles of forearm,1.0,1
tingling and feeling as if the part were going to sleep when sitting,rheumatic pains mostly in bones and joints,1.0,1
tingling and feeling as if the part were going to sleep when sitting,drawing and tearing pain in whole arm,1.0,1
tingling and feeling as if the part were going to sleep when sitting,seat worms,1.0,1
tingling and feeling as if the part were going to sleep when sitting,polypi of mucous surfaces,1.0,1
drawing and tearing pain in whole arm,pain as if a nail had grown into flesh of right great toe,1.0,1
drawing and tearing pain in whole arm,ingrowing toe nails,1.0,1
drawing and tearing pain in whole arm,tingling and feeling as if the part were going to sleep when sitting,1.0,1
drawing and tearing pain in whole arm,better morning,1.0,1
drawing and tearing pain in whole arm,rheumatic lameness of upper arm as far as elbow,1.0,1
drawing and tearing pain in whole arm,over-sensitive and remedies do not act well,1.0,1
drawing and tearing pain in whole arm,in old people or children,1.0,1
drawing and tearing pain in whole arm,emaciated children,1.0,1
drawing and tearing pain in whole arm,sudden cutting pain in muscles of forearm,1.0,1
drawing and tearing pain in whole arm,rheumatic pains mostly in bones and joints,1.0,1
drawing and tearing pain in whole arm,seat worms,1.0,1
drawing and tearing pain in whole arm,polypi of mucous surfaces,1.0,1
polypi of mucous surfaces,pain as if a nail had grown into flesh of right great toe,1.0,1
