### Cluster 81 — Symptoms (68)
Symptom,Frequency
sore muscles worse motion,1
lameness in back,1
hardly able to stoop,1
severe pain in right scapula worse inspiration,1
left knee cannot bear pressure,1
heavy limbs,1
back pains from engorged liver,1
fullness in right hypochondrium,1
shooting down left arm,1
constant tiredness,1
constant dull backache,1
severe pain in right chest,1
painful left knee,1
lameness in sacro-iliac symphysis worse walking,1
cloudy intellect,1
sore muscles worse walking,1
constant backache in sacrum worse stooping,1
weight in right hypochondrium,1
cannot focus on work,1
sense of spinal weakness,1
hemorrhoidal troubles,1
depressed mind,1
constant backache in sacrum worse walking,1
swollen left knee,2
fainting feeling,1
stiff left knee,2
left arm feels over-exercised,1
pain downward from right hip joint,1
lameness in small of back,1
pain in sacro-iliac symphysis worse walking,1
lameness in neck,1
sensation of arm paralysis,1
stinging in right arm,1
uncomfortable rectal feeling as if filled with sticks,1
severe aching from stomach pit to lower liver lobe,1
sad mind,1
tender right hypochondrium,1
constant backache in hips worse stooping,1
weakness in neck,1
dull aching between shoulders,1
dark urine,1
constant aching in right hip joint,1
weariness in small of back,1
gloomy mind,1
tearing in small of back on walking,1
hot urine,1
pain in scapulae worse inspiration,1
sense of lameness,1
sore leg,1
bruised feeling in right hip joint,1
aching in left acromion,1
dry fauces,1
weak back must lie down,1
constant backache in hips worse walking,1
true lumbago,1
severe dull pain across hips,1
walking almost impossible,2
weak legs must lie down,1
severe dull pain across back as if breaking,1
hardly able to rise,1
dull aching in small of back worse walking,1
dry mouth,1
painful joints,1
weakness in back,1
sore tendo achillis,1
sense of heaviness,1
affinity for left knee joint,1
severe pain in right chest worse inspiration,1

### Top Remedies
Remedy,Symptoms_Covered
aesculus hippocastanum,68
mercurius iodatus ruber,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
constant backache in sacrum worse walking,sore muscles worse motion,1.0,1
constant backache in sacrum worse walking,lameness in back,1.0,1
constant backache in sacrum worse walking,hardly able to stoop,1.0,1
constant backache in sacrum worse walking,severe pain in right scapula worse inspiration,1.0,1
constant backache in sacrum worse walking,left knee cannot bear pressure,1.0,1
constant backache in sacrum worse walking,heavy limbs,1.0,1
constant backache in sacrum worse walking,back pains from engorged liver,1.0,1
constant backache in sacrum worse walking,fullness in right hypochondrium,1.0,1
constant backache in sacrum worse walking,shooting down left arm,1.0,1
constant backache in sacrum worse walking,constant tiredness,1.0,1
constant backache in sacrum worse walking,constant dull backache,1.0,1
constant backache in sacrum worse walking,severe pain in right chest,1.0,1
constant backache in sacrum worse walking,painful left knee,1.0,1
constant backache in sacrum worse walking,lameness in sacro-iliac symphysis worse walking,1.0,1
constant backache in sacrum worse walking,cloudy intellect,1.0,1
constant backache in sacrum worse walking,sore muscles worse walking,1.0,1
constant backache in sacrum worse walking,constant backache in sacrum worse stooping,1.0,1
constant backache in sacrum worse walking,weight in right hypochondrium,1.0,1
constant backache in sacrum worse walking,cannot focus on work,1.0,1
constant backache in sacrum worse walking,sense of spinal weakness,1.0,1
constant backache in sacrum worse walking,hemorrhoidal troubles,1.0,1
constant backache in sacrum worse walking,depressed mind,1.0,1
constant backache in sacrum worse walking,swollen left knee,1.0,1
constant backache in sacrum worse walking,fainting feeling,1.0,1
constant backache in sacrum worse walking,stiff left knee,1.0,1
constant backache in sacrum worse walking,left arm feels over-exercised,1.0,1
constant backache in sacrum worse walking,pain downward from right hip joint,1.0,1
constant backache in sacrum worse walking,lameness in small of back,1.0,1
constant backache in sacrum worse walking,pain in sacro-iliac symphysis worse walking,1.0,1
constant backache in sacrum worse walking,lameness in neck,1.0,1
constant backache in sacrum worse walking,sensation of arm paralysis,1.0,1
constant backache in sacrum worse walking,stinging in right arm,1.0,1
constant backache in sacrum worse walking,uncomfortable rectal feeling as if filled with sticks,1.0,1
constant backache in sacrum worse walking,severe aching from stomach pit to lower liver lobe,1.0,1
constant backache in sacrum worse walking,sad mind,1.0,1
constant backache in sacrum worse walking,tender right hypochondrium,1.0,1
constant backache in sacrum worse walking,constant backache in hips worse stooping,1.0,1
constant backache in sacrum worse walking,weakness in neck,1.0,1
constant backache in sacrum worse walking,dull aching between shoulders,1.0,1
constant backache in sacrum worse walking,dark urine,1.0,1
constant backache in sacrum worse walking,constant aching in right hip joint,1.0,1
constant backache in sacrum worse walking,weariness in small of back,1.0,1
constant backache in sacrum worse walking,gloomy mind,1.0,1
constant backache in sacrum worse walking,tearing in small of back on walking,1.0,1
constant backache in sacrum worse walking,hot urine,1.0,1
constant backache in sacrum worse walking,pain in scapulae worse inspiration,1.0,1
constant backache in sacrum worse walking,sense of lameness,1.0,1
constant backache in sacrum worse walking,sore leg,1.0,1
constant backache in sacrum worse walking,bruised feeling in right hip joint,1.0,1
constant backache in sacrum worse walking,aching in left acromion,1.0,1
constant backache in sacrum worse walking,dry fauces,1.0,1
constant backache in sacrum worse walking,weak back must lie down,1.0,1
constant backache in sacrum worse walking,constant backache in hips worse walking,1.0,1
constant backache in sacrum worse walking,true lumbago,1.0,1
constant backache in sacrum worse walking,severe dull pain across hips,1.0,1
constant backache in sacrum worse walking,walking almost impossible,1.0,1
constant backache in sacrum worse walking,weak legs must lie down,1.0,1
constant backache in sacrum worse walking,severe dull pain across back as if breaking,1.0,1
constant backache in sacrum worse walking,hardly able to rise,1.0,1
constant backache in sacrum worse walking,dull aching in small of back worse walking,1.0,1
constant backache in sacrum worse walking,dry mouth,1.0,1
constant backache in sacrum worse walking,painful joints,1.0,1
constant backache in sacrum worse walking,weakness in back,1.0,1
constant backache in sacrum worse walking,sore tendo achillis,1.0,1
constant backache in sacrum worse walking,sense of heaviness,1.0,1
constant backache in sacrum worse walking,affinity for left knee joint,1.0,1
constant backache in sacrum worse walking,severe pain in right chest worse inspiration,1.0,1
lameness in small of back,sore muscles worse motion,1.0,1
lameness in small of back,lameness in back,1.0,1
lameness in small of back,hardly able to stoop,1.0,1
lameness in small of back,severe pain in right scapula worse inspiration,1.0,1
lameness in small of back,left knee cannot bear pressure,1.0,1
lameness in small of back,heavy limbs,1.0,1
lameness in small of back,back pains from engorged liver,1.0,1
lameness in small of back,fullness in right hypochondrium,1.0,1
lameness in small of back,shooting down left arm,1.0,1
lameness in small of back,constant tiredness,1.0,1
lameness in small of back,constant dull backache,1.0,1
lameness in small of back,severe pain in right chest,1.0,1
lameness in small of back,painful left knee,1.0,1
lameness in small of back,lameness in sacro-iliac symphysis worse walking,1.0,1
lameness in small of back,cloudy intellect,1.0,1
lameness in small of back,sore muscles worse walking,1.0,1
lameness in small of back,constant backache in sacrum worse stooping,1.0,1
lameness in small of back,weight in right hypochondrium,1.0,1
lameness in small of back,cannot focus on work,1.0,1
lameness in small of back,sense of spinal weakness,1.0,1
lameness in small of back,hemorrhoidal troubles,1.0,1
lameness in small of back,depressed mind,1.0,1
lameness in small of back,constant backache in sacrum worse walking,1.0,1
lameness in small of back,swollen left knee,1.0,1
lameness in small of back,fainting feeling,1.0,1
lameness in small of back,stiff left knee,1.0,1
lameness in small of back,left arm feels over-exercised,1.0,1
lameness in small of back,pain downward from right hip joint,1.0,1
lameness in small of back,pain in sacro-iliac symphysis worse walking,1.0,1
lameness in small of back,lameness in neck,1.0,1
lameness in small of back,sensation of arm paralysis,1.0,1
lameness in small of back,stinging in right arm,1.0,1
lameness in small of back,uncomfortable rectal feeling as if filled with sticks,1.0,1
lameness in small of back,severe aching from stomach pit to lower liver lobe,1.0,1
lameness in small of back,sad mind,1.0,1
lameness in small of back,tender right hypochondrium,1.0,1
lameness in small of back,constant backache in hips worse stooping,1.0,1
lameness in small of back,weakness in neck,1.0,1
lameness in small of back,dull aching between shoulders,1.0,1
lameness in small of back,dark urine,1.0,1
lameness in small of back,constant aching in right hip joint,1.0,1
lameness in small of back,weariness in small of back,1.0,1
lameness in small of back,gloomy mind,1.0,1
lameness in small of back,tearing in small of back on walking,1.0,1
lameness in small of back,hot urine,1.0,1
lameness in small of back,pain in scapulae worse inspiration,1.0,1
lameness in small of back,sense of lameness,1.0,1
lameness in small of back,sore leg,1.0,1
lameness in small of back,bruised feeling in right hip joint,1.0,1
lameness in small of back,aching in left acromion,1.0,1
lameness in small of back,dry fauces,1.0,1
lameness in small of back,weak back must lie down,1.0,1
lameness in small of back,constant backache in hips worse walking,1.0,1
lameness in small of back,true lumbago,1.0,1
lameness in small of back,severe dull pain across hips,1.0,1
lameness in small of back,walking almost impossible,1.0,1
lameness in small of back,weak legs must lie down,1.0,1
lameness in small of back,severe dull pain across back as if breaking,1.0,1
lameness in small of back,hardly able to rise,1.0,1
lameness in small of back,dull aching in small of back worse walking,1.0,1
lameness in small of back,dry mouth,1.0,1
lameness in small of back,painful joints,1.0,1
lameness in small of back,weakness in back,1.0,1
lameness in small of back,sore tendo achillis,1.0,1
lameness in small of back,sense of heaviness,1.0,1
lameness in small of back,affinity for left knee joint,1.0,1
lameness in small of back,severe pain in right chest worse inspiration,1.0,1
pain in scapulae worse inspiration,sore muscles worse motion,1.0,1
pain in scapulae worse inspiration,lameness in back,1.0,1
pain in scapulae worse inspiration,hardly able to stoop,1.0,1
pain in scapulae worse inspiration,severe pain in right scapula worse inspiration,1.0,1
pain in scapulae worse inspiration,left knee cannot bear pressure,1.0,1
pain in scapulae worse inspiration,heavy limbs,1.0,1
pain in scapulae worse inspiration,back pains from engorged liver,1.0,1
pain in scapulae worse inspiration,fullness in right hypochondrium,1.0,1
pain in scapulae worse inspiration,shooting down left arm,1.0,1
pain in scapulae worse inspiration,constant tiredness,1.0,1
pain in scapulae worse inspiration,constant dull backache,1.0,1
pain in scapulae worse inspiration,severe pain in right chest,1.0,1
pain in scapulae worse inspiration,painful left knee,1.0,1
pain in scapulae worse inspiration,lameness in sacro-iliac symphysis worse walking,1.0,1
pain in scapulae worse inspiration,cloudy intellect,1.0,1
pain in scapulae worse inspiration,sore muscles worse walking,1.0,1
pain in scapulae worse inspiration,constant backache in sacrum worse stooping,1.0,1
pain in scapulae worse inspiration,weight in right hypochondrium,1.0,1
pain in scapulae worse inspiration,cannot focus on work,1.0,1
pain in scapulae worse inspiration,sense of spinal weakness,1.0,1
pain in scapulae worse inspiration,hemorrhoidal troubles,1.0,1
pain in scapulae worse inspiration,depressed mind,1.0,1
pain in scapulae worse inspiration,constant backache in sacrum worse walking,1.0,1
pain in scapulae worse inspiration,swollen left knee,1.0,1
pain in scapulae worse inspiration,fainting feeling,1.0,1
pain in scapulae worse inspiration,stiff left knee,1.0,1
pain in scapulae worse inspiration,left arm feels over-exercised,1.0,1
pain in scapulae worse inspiration,pain downward from right hip joint,1.0,1
pain in scapulae worse inspiration,lameness in small of back,1.0,1
pain in scapulae worse inspiration,pain in sacro-iliac symphysis worse walking,1.0,1
pain in scapulae worse inspiration,lameness in neck,1.0,1
pain in scapulae worse inspiration,sensation of arm paralysis,1.0,1
pain in scapulae worse inspiration,stinging in right arm,1.0,1
pain in scapulae worse inspiration,uncomfortable rectal feeling as if filled with sticks,1.0,1
pain in scapulae worse inspiration,severe aching from stomach pit to lower liver lobe,1.0,1
pain in scapulae worse inspiration,sad mind,1.0,1
pain in scapulae worse inspiration,tender right hypochondrium,1.0,1
pain in scapulae worse inspiration,constant backache in hips worse stooping,1.0,1
pain in scapulae worse inspiration,weakness in neck,1.0,1
pain in scapulae worse inspiration,dull aching between shoulders,1.0,1
pain in scapulae worse inspiration,dark urine,1.0,1
pain in scapulae worse inspiration,constant aching in right hip joint,1.0,1
pain in scapulae worse inspiration,weariness in small of back,1.0,1
pain in scapulae worse inspiration,gloomy mind,1.0,1
pain in scapulae worse inspiration,tearing in small of back on walking,1.0,1
pain in scapulae worse inspiration,hot urine,1.0,1
pain in scapulae worse inspiration,sense of lameness,1.0,1
pain in scapulae worse inspiration,sore leg,1.0,1
pain in scapulae worse inspiration,bruised feeling in right hip joint,1.0,1
pain in scapulae worse inspiration,aching in left acromion,1.0,1
pain in scapulae worse inspiration,dry fauces,1.0,1
pain in scapulae worse inspiration,weak back must lie down,1.0,1
pain in scapulae worse inspiration,constant backache in hips worse walking,1.0,1
pain in scapulae worse inspiration,true lumbago,1.0,1
pain in scapulae worse inspiration,severe dull pain across hips,1.0,1
pain in scapulae worse inspiration,walking almost impossible,1.0,1
pain in scapulae worse inspiration,weak legs must lie down,1.0,1
pain in scapulae worse inspiration,severe dull pain across back as if breaking,1.0,1
pain in scapulae worse inspiration,hardly able to rise,1.0,1
pain in scapulae worse inspiration,dull aching in small of back worse walking,1.0,1
pain in scapulae worse inspiration,dry mouth,1.0,1
pain in scapulae worse inspiration,painful joints,1.0,1
pain in scapulae worse inspiration,weakness in back,1.0,1
pain in scapulae worse inspiration,sore tendo achillis,1.0,1
pain in scapulae worse inspiration,sense of heaviness,1.0,1
pain in scapulae worse inspiration,affinity for left knee joint,1.0,1
pain in scapulae worse inspiration,severe pain in right chest worse inspiration,1.0,1
left knee cannot bear pressure,sore muscles worse motion,1.0,1
left knee cannot bear pressure,lameness in back,1.0,1
left knee cannot bear pressure,hardly able to stoop,1.0,1
left knee cannot bear pressure,severe pain in right scapula worse inspiration,1.0,1
left knee cannot bear pressure,heavy limbs,1.0,1
left knee cannot bear pressure,back pains from engorged liver,1.0,1
left knee cannot bear pressure,fullness in right hypochondrium,1.0,1
left knee cannot bear pressure,shooting down left arm,1.0,1
left knee cannot bear pressure,constant tiredness,1.0,1
left knee cannot bear pressure,constant dull backache,1.0,1
left knee cannot bear pressure,severe pain in right chest,1.0,1
left knee cannot bear pressure,painful left knee,1.0,1
left knee cannot bear pressure,lameness in sacro-iliac symphysis worse walking,1.0,1
left knee cannot bear pressure,cloudy intellect,1.0,1
left knee cannot bear pressure,sore muscles worse walking,1.0,1
left knee cannot bear pressure,constant backache in sacrum worse stooping,1.0,1
left knee cannot bear pressure,weight in right hypochondrium,1.0,1
left knee cannot bear pressure,cannot focus on work,1.0,1
left knee cannot bear pressure,sense of spinal weakness,1.0,1
left knee cannot bear pressure,hemorrhoidal troubles,1.0,1
left knee cannot bear pressure,depressed mind,1.0,1
left knee cannot bear pressure,constant backache in sacrum worse walking,1.0,1
left knee cannot bear pressure,swollen left knee,1.0,1
left knee cannot bear pressure,fainting feeling,1.0,1
left knee cannot bear pressure,stiff left knee,1.0,1
left knee cannot bear pressure,left arm feels over-exercised,1.0,1
left knee cannot bear pressure,pain downward from right hip joint,1.0,1
left knee cannot bear pressure,lameness in small of back,1.0,1
left knee cannot bear pressure,pain in sacro-iliac symphysis worse walking,1.0,1
left knee cannot bear pressure,lameness in neck,1.0,1
left knee cannot bear pressure,sensation of arm paralysis,1.0,1
