### Cluster 82 — Symptoms (58)
Symptom,Frequency
rigid fingers in mornings,1
swollen feet,2
swollen ankles,2
boring in olecranon,1
weight in right arm,1
gouty rheumatic affections,1
rigid arms at night,1
pain between scapulae,2
rigid arms when grasping,1
worse in wet weather,1
headache with nausea,1
stitches in soles,1
stitches in coccyx,1
restless legs,1
pressive drawing in small of back at rest,1
right arm hangs down no use,1
pressive drawing passes off walking,1
obstinate coryza,1
pain in fingers,1
useful in sedentary elderly women,1
boring in knees,1
cramps in right arm drawing backward,1
rigid fingers at night,1
gums bleed easily,1
languor of lower limbs,1
worse with wet applications,1
pain in back of hand,1
dyspnea,1
useful in scrofulous children,1
tearing in zygomas,1
inimical to lachesis,1
worse in winter,1
epistaxis,1
sprained wrist joint pain,1
pain in nape worse right side,1
tearing in limbs,1
sleeping fingers,1
pain in wrists,1
legs go to sleep when standing,1
headache worse in wet weather,2
cramps in soles,2
colic with urging to stool,2
aversion to walking in open air,1
pressing in stomach,2
intense coldness in small of back,1
drawing leg pain,1
rigid fingers when grasping,1
pressive drawing in loins at rest,1
swollen hand,1
restless feet,1
tearing shoulder pain,1
tearing tooth pain,1
legs go to sleep when lying,1
rigid arms in mornings,1
headache worse in winter,1
bruised shoulder pain,1
swollen hands when hanging,1
pain in thumbs,1

### Top Remedies
Remedy,Symptoms_Covered
ammonium carbonicum,58
ammonium muriaticum,4
guaiacum,1
calcarea carbonica,1
naja,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
pain in fingers,rigid fingers in mornings,1.0,1
pain in fingers,swollen feet,1.0,1
pain in fingers,swollen ankles,1.0,1
pain in fingers,boring in olecranon,1.0,1
pain in fingers,weight in right arm,1.0,1
pain in fingers,gouty rheumatic affections,1.0,1
pain in fingers,rigid arms at night,1.0,1
pain in fingers,pain between scapulae,1.0,1
pain in fingers,rigid arms when grasping,1.0,1
pain in fingers,worse in wet weather,1.0,1
pain in fingers,headache with nausea,1.0,1
pain in fingers,stitches in soles,1.0,1
pain in fingers,stitches in coccyx,1.0,1
pain in fingers,restless legs,1.0,1
pain in fingers,pressive drawing in small of back at rest,1.0,1
pain in fingers,right arm hangs down no use,1.0,1
pain in fingers,pressive drawing passes off walking,1.0,1
pain in fingers,obstinate coryza,1.0,1
pain in fingers,useful in sedentary elderly women,1.0,1
pain in fingers,boring in knees,1.0,1
pain in fingers,cramps in right arm drawing backward,1.0,1
pain in fingers,rigid fingers at night,1.0,1
pain in fingers,gums bleed easily,1.0,1
pain in fingers,languor of lower limbs,1.0,1
pain in fingers,worse with wet applications,1.0,1
pain in fingers,pain in back of hand,1.0,1
pain in fingers,dyspnea,1.0,1
pain in fingers,useful in scrofulous children,1.0,1
pain in fingers,tearing in zygomas,1.0,1
pain in fingers,inimical to lachesis,1.0,1
pain in fingers,worse in winter,1.0,1
pain in fingers,epistaxis,1.0,1
pain in fingers,sprained wrist joint pain,1.0,1
pain in fingers,pain in nape worse right side,1.0,1
pain in fingers,tearing in limbs,1.0,1
pain in fingers,sleeping fingers,1.0,1
pain in fingers,pain in wrists,1.0,1
pain in fingers,legs go to sleep when standing,1.0,1
pain in fingers,headache worse in wet weather,1.0,1
pain in fingers,cramps in soles,1.0,1
pain in fingers,colic with urging to stool,1.0,1
pain in fingers,aversion to walking in open air,1.0,1
pain in fingers,pressing in stomach,1.0,1
pain in fingers,intense coldness in small of back,1.0,1
pain in fingers,drawing leg pain,1.0,1
pain in fingers,rigid fingers when grasping,1.0,1
pain in fingers,pressive drawing in loins at rest,1.0,1
pain in fingers,swollen hand,1.0,1
pain in fingers,restless feet,1.0,1
pain in fingers,tearing shoulder pain,1.0,1
pain in fingers,tearing tooth pain,1.0,1
pain in fingers,legs go to sleep when lying,1.0,1
pain in fingers,rigid arms in mornings,1.0,1
pain in fingers,headache worse in winter,1.0,1
pain in fingers,bruised shoulder pain,1.0,1
pain in fingers,swollen hands when hanging,1.0,1
pain in fingers,pain in thumbs,1.0,1
swollen hand,rigid fingers in mornings,1.0,1
swollen hand,swollen feet,1.0,1
swollen hand,swollen ankles,1.0,1
swollen hand,boring in olecranon,1.0,1
swollen hand,weight in right arm,1.0,1
swollen hand,gouty rheumatic affections,1.0,1
swollen hand,rigid arms at night,1.0,1
swollen hand,pain between scapulae,1.0,1
swollen hand,rigid arms when grasping,1.0,1
swollen hand,worse in wet weather,1.0,1
swollen hand,headache with nausea,1.0,1
swollen hand,stitches in soles,1.0,1
swollen hand,stitches in coccyx,1.0,1
swollen hand,restless legs,1.0,1
swollen hand,pressive drawing in small of back at rest,1.0,1
swollen hand,right arm hangs down no use,1.0,1
swollen hand,pressive drawing passes off walking,1.0,1
swollen hand,obstinate coryza,1.0,1
swollen hand,pain in fingers,1.0,1
swollen hand,useful in sedentary elderly women,1.0,1
swollen hand,boring in knees,1.0,1
swollen hand,cramps in right arm drawing backward,1.0,1
swollen hand,rigid fingers at night,1.0,1
swollen hand,gums bleed easily,1.0,1
swollen hand,languor of lower limbs,1.0,1
swollen hand,worse with wet applications,1.0,1
swollen hand,pain in back of hand,1.0,1
swollen hand,dyspnea,1.0,1
swollen hand,useful in scrofulous children,1.0,1
swollen hand,tearing in zygomas,1.0,1
swollen hand,inimical to lachesis,1.0,1
swollen hand,worse in winter,1.0,1
swollen hand,epistaxis,1.0,1
swollen hand,sprained wrist joint pain,1.0,1
swollen hand,pain in nape worse right side,1.0,1
swollen hand,tearing in limbs,1.0,1
swollen hand,sleeping fingers,1.0,1
swollen hand,pain in wrists,1.0,1
swollen hand,legs go to sleep when standing,1.0,1
swollen hand,headache worse in wet weather,1.0,1
swollen hand,cramps in soles,1.0,1
swollen hand,colic with urging to stool,1.0,1
swollen hand,aversion to walking in open air,1.0,1
swollen hand,pressing in stomach,1.0,1
swollen hand,intense coldness in small of back,1.0,1
swollen hand,drawing leg pain,1.0,1
swollen hand,rigid fingers when grasping,1.0,1
swollen hand,pressive drawing in loins at rest,1.0,1
swollen hand,restless feet,1.0,1
swollen hand,tearing shoulder pain,1.0,1
swollen hand,tearing tooth pain,1.0,1
swollen hand,legs go to sleep when lying,1.0,1
swollen hand,rigid arms in mornings,1.0,1
swollen hand,headache worse in winter,1.0,1
swollen hand,bruised shoulder pain,1.0,1
swollen hand,swollen hands when hanging,1.0,1
swollen hand,pain in thumbs,1.0,1
sprained wrist joint pain,rigid fingers in mornings,1.0,1
sprained wrist joint pain,swollen feet,1.0,1
sprained wrist joint pain,swollen ankles,1.0,1
sprained wrist joint pain,boring in olecranon,1.0,1
sprained wrist joint pain,weight in right arm,1.0,1
sprained wrist joint pain,gouty rheumatic affections,1.0,1
sprained wrist joint pain,rigid arms at night,1.0,1
sprained wrist joint pain,pain between scapulae,1.0,1
sprained wrist joint pain,rigid arms when grasping,1.0,1
sprained wrist joint pain,worse in wet weather,1.0,1
sprained wrist joint pain,headache with nausea,1.0,1
sprained wrist joint pain,stitches in soles,1.0,1
sprained wrist joint pain,stitches in coccyx,1.0,1
sprained wrist joint pain,restless legs,1.0,1
sprained wrist joint pain,pressive drawing in small of back at rest,1.0,1
sprained wrist joint pain,right arm hangs down no use,1.0,1
sprained wrist joint pain,pressive drawing passes off walking,1.0,1
sprained wrist joint pain,obstinate coryza,1.0,1
sprained wrist joint pain,pain in fingers,1.0,1
sprained wrist joint pain,useful in sedentary elderly women,1.0,1
sprained wrist joint pain,boring in knees,1.0,1
sprained wrist joint pain,cramps in right arm drawing backward,1.0,1
sprained wrist joint pain,rigid fingers at night,1.0,1
sprained wrist joint pain,gums bleed easily,1.0,1
sprained wrist joint pain,languor of lower limbs,1.0,1
sprained wrist joint pain,worse with wet applications,1.0,1
sprained wrist joint pain,pain in back of hand,1.0,1
sprained wrist joint pain,dyspnea,1.0,1
sprained wrist joint pain,useful in scrofulous children,1.0,1
sprained wrist joint pain,tearing in zygomas,1.0,1
sprained wrist joint pain,inimical to lachesis,1.0,1
sprained wrist joint pain,worse in winter,1.0,1
sprained wrist joint pain,epistaxis,1.0,1
sprained wrist joint pain,pain in nape worse right side,1.0,1
sprained wrist joint pain,tearing in limbs,1.0,1
sprained wrist joint pain,sleeping fingers,1.0,1
sprained wrist joint pain,pain in wrists,1.0,1
sprained wrist joint pain,legs go to sleep when standing,1.0,1
sprained wrist joint pain,headache worse in wet weather,1.0,1
sprained wrist joint pain,cramps in soles,1.0,1
sprained wrist joint pain,colic with urging to stool,1.0,1
sprained wrist joint pain,aversion to walking in open air,1.0,1
sprained wrist joint pain,pressing in stomach,1.0,1
sprained wrist joint pain,intense coldness in small of back,1.0,1
sprained wrist joint pain,drawing leg pain,1.0,1
sprained wrist joint pain,rigid fingers when grasping,1.0,1
sprained wrist joint pain,pressive drawing in loins at rest,1.0,1
sprained wrist joint pain,swollen hand,1.0,1
sprained wrist joint pain,restless feet,1.0,1
sprained wrist joint pain,tearing shoulder pain,1.0,1
sprained wrist joint pain,tearing tooth pain,1.0,1
sprained wrist joint pain,legs go to sleep when lying,1.0,1
sprained wrist joint pain,rigid arms in mornings,1.0,1
sprained wrist joint pain,headache worse in winter,1.0,1
sprained wrist joint pain,bruised shoulder pain,1.0,1
sprained wrist joint pain,swollen hands when hanging,1.0,1
sprained wrist joint pain,pain in thumbs,1.0,1
rigid fingers at night,rigid fingers in mornings,1.0,1
rigid fingers at night,swollen feet,1.0,1
rigid fingers at night,swollen ankles,1.0,1
rigid fingers at night,boring in olecranon,1.0,1
rigid fingers at night,weight in right arm,1.0,1
rigid fingers at night,gouty rheumatic affections,1.0,1
rigid fingers at night,rigid arms at night,1.0,1
rigid fingers at night,pain between scapulae,1.0,1
rigid fingers at night,rigid arms when grasping,1.0,1
rigid fingers at night,worse in wet weather,1.0,1
rigid fingers at night,headache with nausea,1.0,1
rigid fingers at night,stitches in soles,1.0,1
rigid fingers at night,stitches in coccyx,1.0,1
rigid fingers at night,restless legs,1.0,1
rigid fingers at night,pressive drawing in small of back at rest,1.0,1
rigid fingers at night,right arm hangs down no use,1.0,1
rigid fingers at night,pressive drawing passes off walking,1.0,1
rigid fingers at night,obstinate coryza,1.0,1
rigid fingers at night,pain in fingers,1.0,1
rigid fingers at night,useful in sedentary elderly women,1.0,1
rigid fingers at night,boring in knees,1.0,1
rigid fingers at night,cramps in right arm drawing backward,1.0,1
rigid fingers at night,gums bleed easily,1.0,1
rigid fingers at night,languor of lower limbs,1.0,1
rigid fingers at night,worse with wet applications,1.0,1
rigid fingers at night,pain in back of hand,1.0,1
