### Cluster 93 — Symptoms (34)
Symptom,Frequency
hemorrhoids,2
arthritic ophthalmia,2
pressure in back as from a stone,2
can neither sit nor lie with comfort,1
irritable temper,1
intolerance of light,1
muscles of neck painful when moving head,1
cramp in calves at night,1
aching in back with great sensitiveness to touch,1
tearing pain in limbs,1
rheumatic pain in deltoid,1
oversensitiveness to external impressions,1
old gouty subjects with rheumatic ophthalmia,1
pain in back compelling him to bend forward,1
aching pains and anguish in region of heart,1
compelled to walk about,1
rheumatic pain in back worse at night,1
great weariness and relaxation of lower limbs,1
drawing pains in muscles of arm,1
pains in small of back as if a band were drawn tightly around waist,1
pressive pain in elbow joint,1
aversion to coffee and tobacco,1
great weakness in knee joints,1
lids very red and sensitive to touch,1
rheumatism of large muscles of trunk and limbs,1
stinging pain in knee,1
bruised pains in limbs,1
rheumatism of large muscles of shoulder and neck,1
rheumatism of hip and knee joints,1
pains in knee as if crushed,1
gastric derangements,1
bitter taste in mouth,1
at beginning of rheumatic ophthalmia,1
tearing pains in eyes,1

### Top Remedies
Remedy,Symptoms_Covered
nux vomica,34
aesculus hippocastanum,1
staphisagria,1
oniscus,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
compelled to walk about,hemorrhoids,1.0,1
compelled to walk about,can neither sit nor lie with comfort,1.0,1
compelled to walk about,irritable temper,1.0,1
compelled to walk about,intolerance of light,1.0,1
compelled to walk about,muscles of neck painful when moving head,1.0,1
compelled to walk about,cramp in calves at night,1.0,1
compelled to walk about,arthritic ophthalmia,1.0,1
compelled to walk about,aching in back with great sensitiveness to touch,1.0,1
compelled to walk about,tearing pain in limbs,1.0,1
compelled to walk about,rheumatic pain in deltoid,1.0,1
compelled to walk about,oversensitiveness to external impressions,1.0,1
compelled to walk about,old gouty subjects with rheumatic ophthalmia,1.0,1
compelled to walk about,pressure in back as from a stone,1.0,1
compelled to walk about,pain in back compelling him to bend forward,1.0,1
compelled to walk about,aching pains and anguish in region of heart,1.0,1
compelled to walk about,rheumatic pain in back worse at night,1.0,1
compelled to walk about,great weariness and relaxation of lower limbs,1.0,1
compelled to walk about,drawing pains in muscles of arm,1.0,1
compelled to walk about,pains in small of back as if a band were drawn tightly around waist,1.0,1
compelled to walk about,pressive pain in elbow joint,1.0,1
compelled to walk about,aversion to coffee and tobacco,1.0,1
compelled to walk about,great weakness in knee joints,1.0,1
compelled to walk about,lids very red and sensitive to touch,1.0,1
compelled to walk about,rheumatism of large muscles of trunk and limbs,1.0,1
compelled to walk about,stinging pain in knee,1.0,1
compelled to walk about,bruised pains in limbs,1.0,1
compelled to walk about,rheumatism of large muscles of shoulder and neck,1.0,1
compelled to walk about,rheumatism of hip and knee joints,1.0,1
compelled to walk about,pains in knee as if crushed,1.0,1
compelled to walk about,gastric derangements,1.0,1
compelled to walk about,bitter taste in mouth,1.0,1
compelled to walk about,at beginning of rheumatic ophthalmia,1.0,1
compelled to walk about,tearing pains in eyes,1.0,1
pressure in back as from a stone,hemorrhoids,0.5,1
pressure in back as from a stone,can neither sit nor lie with comfort,0.5,1
pressure in back as from a stone,irritable temper,0.5,1
pressure in back as from a stone,intolerance of light,0.5,1
pressure in back as from a stone,muscles of neck painful when moving head,0.5,1
pressure in back as from a stone,cramp in calves at night,0.5,1
pressure in back as from a stone,arthritic ophthalmia,0.5,1
pressure in back as from a stone,aching in back with great sensitiveness to touch,0.5,1
pressure in back as from a stone,tearing pain in limbs,0.5,1
pressure in back as from a stone,rheumatic pain in deltoid,0.5,1
pressure in back as from a stone,oversensitiveness to external impressions,0.5,1
pressure in back as from a stone,old gouty subjects with rheumatic ophthalmia,0.5,1
pressure in back as from a stone,pain in back compelling him to bend forward,0.5,1
pressure in back as from a stone,aching pains and anguish in region of heart,0.5,1
pressure in back as from a stone,compelled to walk about,0.5,1
pressure in back as from a stone,rheumatic pain in back worse at night,0.5,1
pressure in back as from a stone,great weariness and relaxation of lower limbs,0.5,1
pressure in back as from a stone,drawing pains in muscles of arm,0.5,1
pressure in back as from a stone,pains in small of back as if a band were drawn tightly around waist,0.5,1
pressure in back as from a stone,pressive pain in elbow joint,0.5,1
pressure in back as from a stone,aversion to coffee and tobacco,0.5,1
pressure in back as from a stone,great weakness in knee joints,0.5,1
pressure in back as from a stone,lids very red and sensitive to touch,0.5,1
pressure in back as from a stone,rheumatism of large muscles of trunk and limbs,0.5,1
pressure in back as from a stone,stinging pain in knee,0.5,1
pressure in back as from a stone,bruised pains in limbs,0.5,1
pressure in back as from a stone,rheumatism of large muscles of shoulder and neck,0.5,1
pressure in back as from a stone,rheumatism of hip and knee joints,0.5,1
pressure in back as from a stone,pains in knee as if crushed,0.5,1
pressure in back as from a stone,gastric derangements,0.5,1
pressure in back as from a stone,bitter taste in mouth,0.5,1
pressure in back as from a stone,at beginning of rheumatic ophthalmia,0.5,1
pressure in back as from a stone,tearing pains in eyes,0.5,1
rheumatic pain in deltoid,hemorrhoids,1.0,1
rheumatic pain in deltoid,can neither sit nor lie with comfort,1.0,1
rheumatic pain in deltoid,irritable temper,1.0,1
rheumatic pain in deltoid,intolerance of light,1.0,1
rheumatic pain in deltoid,muscles of neck painful when moving head,1.0,1
rheumatic pain in deltoid,cramp in calves at night,1.0,1
rheumatic pain in deltoid,arthritic ophthalmia,1.0,1
rheumatic pain in deltoid,aching in back with great sensitiveness to touch,1.0,1
rheumatic pain in deltoid,tearing pain in limbs,1.0,1
rheumatic pain in deltoid,oversensitiveness to external impressions,1.0,1
rheumatic pain in deltoid,old gouty subjects with rheumatic ophthalmia,1.0,1
rheumatic pain in deltoid,pressure in back as from a stone,1.0,1
rheumatic pain in deltoid,pain in back compelling him to bend forward,1.0,1
rheumatic pain in deltoid,aching pains and anguish in region of heart,1.0,1
rheumatic pain in deltoid,compelled to walk about,1.0,1
rheumatic pain in deltoid,rheumatic pain in back worse at night,1.0,1
rheumatic pain in deltoid,great weariness and relaxation of lower limbs,1.0,1
rheumatic pain in deltoid,drawing pains in muscles of arm,1.0,1
rheumatic pain in deltoid,pains in small of back as if a band were drawn tightly around waist,1.0,1
rheumatic pain in deltoid,pressive pain in elbow joint,1.0,1
rheumatic pain in deltoid,aversion to coffee and tobacco,1.0,1
rheumatic pain in deltoid,great weakness in knee joints,1.0,1
rheumatic pain in deltoid,lids very red and sensitive to touch,1.0,1
rheumatic pain in deltoid,rheumatism of large muscles of trunk and limbs,1.0,1
rheumatic pain in deltoid,stinging pain in knee,1.0,1
rheumatic pain in deltoid,bruised pains in limbs,1.0,1
rheumatic pain in deltoid,rheumatism of large muscles of shoulder and neck,1.0,1
rheumatic pain in deltoid,rheumatism of hip and knee joints,1.0,1
rheumatic pain in deltoid,pains in knee as if crushed,1.0,1
rheumatic pain in deltoid,gastric derangements,1.0,1
rheumatic pain in deltoid,bitter taste in mouth,1.0,1
rheumatic pain in deltoid,at beginning of rheumatic ophthalmia,1.0,1
rheumatic pain in deltoid,tearing pains in eyes,1.0,1
oversensitiveness to external impressions,hemorrhoids,1.0,1
oversensitiveness to external impressions,can neither sit nor lie with comfort,1.0,1
oversensitiveness to external impressions,irritable temper,1.0,1
oversensitiveness to external impressions,intolerance of light,1.0,1
